PSTAR: Stopping Powers and Range Tables for Protons

CARBON (Graphite, density 1.7 g/cm3)                                    

Kinetic   Total     
Energy    Stp. Pow. 
MeV       MeV cm2/g 

1.000E-03 1.677E+02 
1.500E-03 1.963E+02 
2.000E-03 2.214E+02 
2.500E-03 2.443E+02 
3.000E-03 2.652E+02 
4.000E-03 2.958E+02 
5.000E-03 3.241E+02 
6.000E-03 3.500E+02 
7.000E-03 3.738E+02 
8.000E-03 3.946E+02 
9.000E-03 4.132E+02 
1.000E-02 4.303E+02 
1.250E-02 4.678E+02 
1.500E-02 4.991E+02 
1.750E-02 5.264E+02 
2.000E-02 5.510E+02 
2.250E-02 5.731E+02 
2.500E-02 5.927E+02 
2.750E-02 6.101E+02 
3.000E-02 6.259E+02 
3.500E-02 6.551E+02 
4.000E-02 6.823E+02 
4.500E-02 7.067E+02 
5.000E-02 7.274E+02 
5.500E-02 7.441E+02 
6.000E-02 7.574E+02 
6.500E-02 7.677E+02 
7.000E-02 7.755E+02 
7.500E-02 7.810E+02 
8.000E-02 7.845E+02 
8.500E-02 7.861E+02 
9.000E-02 7.860E+02 
9.500E-02 7.846E+02 
1.000E-01 7.819E+02 
1.250E-01 7.548E+02 
1.500E-01 7.153E+02 
1.750E-01 6.721E+02 
2.000E-01 6.297E+02 
2.250E-01 5.908E+02 
2.500E-01 5.561E+02 
2.750E-01 5.254E+02 
3.000E-01 4.982E+02 
3.500E-01 4.543E+02 
4.000E-01 4.196E+02 
4.500E-01 3.906E+02 
5.000E-01 3.654E+02 
5.500E-01 3.433E+02 
6.000E-01 3.240E+02 
6.500E-01 3.073E+02 
7.000E-01 2.925E+02 
7.500E-01 2.793E+02 
8.000E-01 2.675E+02 
8.500E-01 2.568E+02 
9.000E-01 2.470E+02 
9.500E-01 2.380E+02 
1.000E+00 2.297E+02 
1.250E+00 1.968E+02 
1.500E+00 1.731E+02 
1.750E+00 1.551E+02 
2.000E+00 1.409E+02 
2.250E+00 1.293E+02 
2.500E+00 1.196E+02 
2.750E+00 1.115E+02 
3.000E+00 1.045E+02 
3.500E+00 9.301E+01 
4.000E+00 8.399E+01 
4.500E+00 7.671E+01 
5.000E+00 7.069E+01 
5.500E+00 6.562E+01 
6.000E+00 6.130E+01 
6.500E+00 5.755E+01 
7.000E+00 5.428E+01 
7.500E+00 5.139E+01 
8.000E+00 4.881E+01 
8.500E+00 4.652E+01 
9.000E+00 4.444E+01 
9.500E+00 4.256E+01 
1.000E+01 4.084E+01 
1.250E+01 3.413E+01 
1.500E+01 2.945E+01 
1.750E+01 2.599E+01 
2.000E+01 2.332E+01 
2.500E+01 1.946E+01 
2.750E+01 1.801E+01 
3.000E+01 1.678E+01 
3.500E+01 1.482E+01 
4.000E+01 1.331E+01 
4.500E+01 1.211E+01 
5.000E+01 1.114E+01 
5.500E+01 1.033E+01 
6.000E+01 9.645E+00 
6.500E+01 9.060E+00 
7.000E+01 8.553E+00 
7.500E+01 8.109E+00 
8.000E+01 7.717E+00 
8.500E+01 7.368E+00 
9.000E+01 7.056E+00 
9.500E+01 6.775E+00 
1.000E+02 6.520E+00 
1.250E+02 5.538E+00 
1.500E+02 4.868E+00 
1.750E+02 4.382E+00 
2.000E+02 4.014E+00 
2.250E+02 3.724E+00 
2.500E+02 3.492E+00 
2.750E+02 3.300E+00 
3.000E+02 3.140E+00 
3.500E+02 2.889E+00 
4.000E+02 2.700E+00 
4.500E+02 2.554E+00 
5.000E+02 2.438E+00 
5.500E+02 2.344E+00 
6.000E+02 2.266E+00 
6.500E+02 2.202E+00 
7.000E+02 2.147E+00 
7.500E+02 2.101E+00 
8.000E+02 2.061E+00 
8.500E+02 2.026E+00 
9.000E+02 1.996E+00 
9.500E+02 1.969E+00 
1.000E+03 1.946E+00 
1.500E+03 1.816E+00 
2.000E+03 1.772E+00 
2.500E+03 1.757E+00 
3.000E+03 1.755E+00 
4.000E+03 1.768E+00 
5.000E+03 1.787E+00 
6.000E+03 1.808E+00 
7.000E+03 1.828E+00 
8.000E+03 1.847E+00 
9.000E+03 1.864E+00 
1.000E+04 1.881E+00 
