Eq	Q2	sigma/nb	sigma(check)/nb

1.5    0.000    1.70729    1.69459
1.5    0.001    1.80657    1.84868
1.5    0.005    1.81505    1.75554
1.5    0.010    1.66823    1.80869
1.5    0.050    1.28931    1.37151
1.5    0.100    1.08867    1.88362
1.5    0.500    0.13523    0.112611

1.6    0.000    1.12494    1.73121
1.6    0.001    1.12725    1.14786
1.6    0.005    1.25253    1.10992
1.6    0.010    1.24227    1.11327
1.6    0.050    0.99716    1.63794
1.6    0.100    0.85370    0.893012
1.6    0.500    0.13960    0.195595


