     k            crst-ang           q             ang            pmin          pmax          -t          crst-t
 0.55100715E+01 0.80183787E-04 0.82000000E+01 0.00000000E+00 0.19732001E+01 0.26087495E+01 0.37040928E+01 0.55752628E-05
 0.55200715E+01 0.85658951E-04 0.82000000E+01 0.00000000E+00 0.19732001E+01 0.26087495E+01 0.36830901E+01 0.59451670E-05
 0.55300715E+01 0.91505678E-04 0.82000000E+01 0.00000000E+00 0.19732001E+01 0.26087495E+01 0.36621494E+01 0.63394752E-05
 0.55400715E+01 0.97749226E-04 0.82000000E+01 0.00000000E+00 0.19732001E+01 0.26087495E+01 0.36412704E+01 0.67598019E-05
 0.55500715E+01 0.10441698E-03 0.82000000E+01 0.00000000E+00 0.19732001E+01 0.26087495E+01 0.36204530E+01 0.72078970E-05
 0.55600715E+01 0.11153782E-03 0.82000000E+01 0.00000000E+00 0.19732001E+01 0.26087495E+01 0.35996969E+01 0.76855999E-05
 0.55700715E+01 0.11914330E-03 0.82000000E+01 0.00000000E+00 0.19732001E+01 0.26087495E+01 0.35790017E+01 0.81949231E-05
 0.55800715E+01 0.12726630E-03 0.82000000E+01 0.00000000E+00 0.19732001E+01 0.26087495E+01 0.35583673E+01 0.87379522E-05
 0.55900715E+01 0.13594272E-03 0.82000000E+01 0.00000000E+00 0.19732001E+01 0.26087495E+01 0.35377935E+01 0.93169679E-05
 0.56000715E+01 0.14521084E-03 0.82000000E+01 0.00000000E+00 0.19732001E+01 0.26087495E+01 0.35172799E+01 0.99343963E-05
 0.56100715E+01 0.15511168E-03 0.82000000E+01 0.00000000E+00 0.19732001E+01 0.26087495E+01 0.34968263E+01 0.10592833E-04
 0.56200715E+01 0.16568918E-03 0.82000000E+01 0.00000000E+00 0.19732001E+01 0.26087495E+01 0.34764325E+01 0.11295055E-04
 0.56300715E+01 0.17699013E-03 0.82000000E+01 0.00000000E+00 0.19732001E+01 0.26087495E+01 0.34560982E+01 0.12044011E-04
 0.56400715E+01 0.18906513E-03 0.82000000E+01 0.00000000E+00 0.19732001E+01 0.26087495E+01 0.34358233E+01 0.12842892E-04
 0.56500715E+01 0.20196828E-03 0.82000000E+01 0.00000000E+00 0.19732001E+01 0.26087495E+01 0.34156073E+01 0.13695101E-04
 0.56600715E+01 0.21575715E-03 0.82000000E+01 0.00000000E+00 0.19732001E+01 0.26087495E+01 0.33954502E+01 0.14604251E-04
 0.56700715E+01 0.23049373E-03 0.82000000E+01 0.00000000E+00 0.19732001E+01 0.26087495E+01 0.33753516E+01 0.15574231E-04
 0.56800715E+01 0.24624492E-03 0.82000000E+01 0.00000000E+00 0.19732001E+01 0.26087495E+01 0.33553114E+01 0.16609229E-04
 0.56900715E+01 0.26308141E-03 0.82000000E+01 0.00000000E+00 0.19732001E+01 0.26087495E+01 0.33353292E+01 0.17713666E-04
 0.57000715E+01 0.28107994E-03 0.82000000E+01 0.00000000E+00 0.19732001E+01 0.26087495E+01 0.33154049E+01 0.18892331E-04
 0.57100715E+01 0.30032283E-03 0.82000000E+01 0.00000000E+00 0.19732001E+01 0.26087495E+01 0.32955382E+01 0.20150360E-04
 0.57200715E+01 0.32089793E-03 0.82000000E+01 0.00000000E+00 0.19732001E+01 0.26087495E+01 0.32757289E+01 0.21493219E-04
 0.57300715E+01 0.34289989E-03 0.82000000E+01 0.00000000E+00 0.19732001E+01 0.26087495E+01 0.32559768E+01 0.22926793E-04
 0.57400715E+01 0.36642975E-03 0.82000000E+01 0.00000000E+00 0.19732001E+01 0.26087495E+01 0.32362816E+01 0.24457352E-04
 0.57500715E+01 0.39159736E-03 0.82000000E+01 0.00000000E+00 0.19732001E+01 0.26087495E+01 0.32166430E+01 0.26091709E-04
 0.57600715E+01 0.41851885E-03 0.82000000E+01 0.00000000E+00 0.19732001E+01 0.26087495E+01 0.31970610E+01 0.27837047E-04
 0.57700715E+01 0.44732058E-03 0.82000000E+01 0.00000000E+00 0.19732001E+01 0.26087495E+01 0.31775351E+01 0.29701180E-04
 0.57800715E+01 0.47813693E-03 0.82000000E+01 0.00000000E+00 0.19732001E+01 0.26087495E+01 0.31580653E+01 0.31692397E-04
 0.57900715E+01 0.51111350E-03 0.82000000E+01 0.00000000E+00 0.19732001E+01 0.26087495E+01 0.31386513E+01 0.33819676E-04
 0.58000715E+01 0.54640537E-03 0.82000000E+01 0.00000000E+00 0.19732001E+01 0.26087495E+01 0.31192928E+01 0.36092555E-04
 0.58100715E+01 0.58417978E-03 0.82000000E+01 0.00000000E+00 0.19732001E+01 0.26087495E+01 0.30999896E+01 0.38521311E-04
 0.58200715E+01 0.62461670E-03 0.82000000E+01 0.00000000E+00 0.19732001E+01 0.26087495E+01 0.30807416E+01 0.41116987E-04
 0.58300715E+01 0.66790855E-03 0.82000000E+01 0.00000000E+00 0.19732001E+01 0.26087495E+01 0.30615484E+01 0.43891370E-04
 0.58400715E+01 0.71426485E-03 0.82000000E+01 0.00000000E+00 0.19732001E+01 0.26087495E+01 0.30424100E+01 0.46857286E-04
 0.58500715E+01 0.76390720E-03 0.82000000E+01 0.00000000E+00 0.19732001E+01 0.26087495E+01 0.30233259E+01 0.50028265E-04
 0.58600715E+01 0.81707779E-03 0.82000000E+01 0.00000000E+00 0.19732001E+01 0.26087495E+01 0.30042962E+01 0.53419092E-04
 0.58700715E+01 0.87403436E-03 0.82000000E+01 0.00000000E+00 0.19732001E+01 0.26087495E+01 0.29853204E+01 0.57045465E-04
 0.58800715E+01 0.93505668E-03 0.82000000E+01 0.00000000E+00 0.19732001E+01 0.26087495E+01 0.29663984E+01 0.60924411E-04
 0.58900715E+01 0.10004429E-02 0.82000000E+01 0.00000000E+00 0.19732001E+01 0.26087495E+01 0.29475300E+01 0.65074036E-04
 0.59000715E+01 0.10705168E-02 0.82000000E+01 0.00000000E+00 0.19732001E+01 0.26087495E+01 0.29287150E+01 0.69513992E-04
 0.59100715E+01 0.11456250E-02 0.82000000E+01 0.00000000E+00 0.19732001E+01 0.26087495E+01 0.29099532E+01 0.74265272E-04
 0.59200715E+01 0.12261419E-02 0.82000000E+01 0.00000000E+00 0.19732001E+01 0.26087495E+01 0.28912443E+01 0.79350525E-04
 0.59300715E+01 0.13124700E-02 0.82000000E+01 0.00000000E+00 0.19732001E+01 0.26087495E+01 0.28725882E+01 0.84794070E-04
 0.59400715E+01 0.14050424E-02 0.82000000E+01 0.00000000E+00 0.19732001E+01 0.26087495E+01 0.28539845E+01 0.90622024E-04
 0.59500715E+01 0.15043260E-02 0.82000000E+01 0.00000000E+00 0.19732001E+01 0.26087495E+01 0.28354332E+01 0.96862528E-04
 0.59600715E+01 0.16108211E-02 0.82000000E+01 0.00000000E+00 0.19732001E+01 0.26087495E+01 0.28169341E+01 0.10354565E-03
 0.59700715E+01 0.17250724E-02 0.82000000E+01 0.00000000E+00 0.19732001E+01 0.26087495E+01 0.27984868E+01 0.11070412E-03
 0.59800715E+01 0.18476623E-02 0.82000000E+01 0.00000000E+00 0.19732001E+01 0.26087495E+01 0.27800912E+01 0.11837288E-03
 0.59900715E+01 0.19792216E-02 0.82000000E+01 0.00000000E+00 0.19732001E+01 0.26087495E+01 0.27617471E+01 0.12658972E-03
 0.60000715E+01 0.21204282E-02 0.82000000E+01 0.00000000E+00 0.19732001E+01 0.26087495E+01 0.27434544E+01 0.13539516E-03
 0.60100715E+01 0.22720189E-02 0.82000000E+01 0.00000000E+00 0.19732001E+01 0.26087495E+01 0.27252127E+01 0.14483326E-03
 0.60200715E+01 0.24347779E-02 0.82000000E+01 0.00000000E+00 0.19732001E+01 0.26087495E+01 0.27070219E+01 0.15495076E-03
 0.60300715E+01 0.26095574E-02 0.82000000E+01 0.00000000E+00 0.19732001E+01 0.26087495E+01 0.26888818E+01 0.16579843E-03
 0.60400715E+01 0.27972801E-02 0.82000000E+01 0.00000000E+00 0.19732001E+01 0.26087495E+01 0.26707922E+01 0.17743116E-03
 0.60500715E+01 0.29989349E-02 0.82000000E+01 0.00000000E+00 0.19732001E+01 0.26087495E+01 0.26527529E+01 0.18990769E-03
 0.60600715E+01 0.32155937E-02 0.82000000E+01 0.00000000E+00 0.19732001E+01 0.26087495E+01 0.26347637E+01 0.20329160E-03
