     k            crst-ang           q             ang            pmin          pmax          -t          crst-t
 0.32000000E+01 0.11004388E-19 0.72000000E+01 0.00000000E+00 0.13225655E+01 0.19989570E+01 0.84550042E+01 0.15004907E-20
 0.32100000E+01 0.13112113E-19 0.72000000E+01 0.00000000E+00 0.13222013E+01 0.19989570E+01 0.84145588E+01 0.17823172E-20
 0.32200000E+01 0.15507321E-19 0.72000000E+01 0.00000000E+00 0.13222013E+01 0.19989570E+01 0.83742690E+01 0.21013494E-20
 0.32300000E+01 0.17734406E-19 0.72000000E+01 0.00000000E+00 0.13222013E+01 0.19989570E+01 0.83341341E+01 0.23956948E-20
 0.32400000E+01 0.25467841E-19 0.72000000E+01 0.00000000E+00 0.12682654E+01 0.19989570E+01 0.82941533E+01 0.34297659E-20
 0.32500000E+01 0.28379903E-19 0.72000000E+01 0.00000000E+00 0.12682654E+01 0.19989570E+01 0.82543260E+01 0.38101750E-20
 0.32600000E+01 0.37302680E-19 0.72000000E+01 0.00000000E+00 0.12453931E+01 0.19989570E+01 0.82146513E+01 0.49927497E-20
 0.32700000E+01 0.48555987E-19 0.72000000E+01 0.00000000E+00 0.12079663E+01 0.19989570E+01 0.81751284E+01 0.64790660E-20
 0.32800000E+01 0.56854943E-19 0.72000000E+01 0.00000000E+00 0.12079663E+01 0.19989570E+01 0.81357568E+01 0.75633074E-20
 0.32900000E+01 0.62730077E-19 0.72000000E+01 0.00000000E+00 0.12079663E+01 0.19996841E+01 0.80965356E+01 0.83195012E-20
 0.33000000E+01 0.74782410E-19 0.72000000E+01 0.00000000E+00 0.12074717E+01 0.19996841E+01 0.80574642E+01 0.98878732E-20
 0.33100000E+01 0.72723536E-19 0.72000000E+01 0.00000000E+00 0.12074717E+01 0.19996841E+01 0.80185418E+01 0.95865946E-20
 0.33200000E+01 0.75490266E-19 0.72000000E+01 0.00000000E+00 0.12074717E+01 0.19996841E+01 0.79797676E+01 0.99213379E-20
 0.33300000E+01 0.78157317E-19 0.72000000E+01 0.00000000E+00 0.12074717E+01 0.19996841E+01 0.79411410E+01 0.10241010E-19
 0.33400000E+01 0.84775646E-19 0.72000000E+01 0.00000000E+00 0.12074717E+01 0.19996841E+01 0.79026613E+01 0.11074956E-19
 0.33500000E+01 0.93160651E-19 0.72000000E+01 0.00000000E+00 0.12074717E+01 0.19996841E+01 0.78643277E+01 0.12134030E-19
 0.33600000E+01 0.10339176E-18 0.72000000E+01 0.00000000E+00 0.12074717E+01 0.19996841E+01 0.78261396E+01 0.13426537E-19
 0.33700000E+01 0.11092445E-18 0.72000000E+01 0.00000000E+00 0.12074717E+01 0.19996841E+01 0.77880962E+01 0.14361994E-19
 0.33800000E+01 0.12456874E-18 0.72000000E+01 0.00000000E+00 0.12074717E+01 0.19996841E+01 0.77501969E+01 0.16080877E-19
 0.33900000E+01 0.14064369E-18 0.72000000E+01 0.00000000E+00 0.12074717E+01 0.19996841E+01 0.77124409E+01 0.18102473E-19
 0.34000000E+01 0.15951235E-18 0.72000000E+01 0.00000000E+00 0.12074717E+01 0.19996841E+01 0.76748276E+01 0.20470703E-19
 0.34100000E+01 0.17277198E-18 0.72000000E+01 0.00000000E+00 0.12074717E+01 0.19996841E+01 0.76373563E+01 0.22107330E-19
 0.34200000E+01 0.19697801E-18 0.72000000E+01 0.00000000E+00 0.12074717E+01 0.19996841E+01 0.76000262E+01 0.25130956E-19
 0.34300000E+01 0.22523724E-18 0.72000000E+01 0.00000000E+00 0.12074717E+01 0.19996841E+01 0.75628368E+01 0.28652561E-19
 0.34400000E+01 0.25821212E-18 0.72000000E+01 0.00000000E+00 0.12074717E+01 0.19996841E+01 0.75257874E+01 0.32751828E-19
 0.34500000E+01 0.28030492E-18 0.72000000E+01 0.00000000E+00 0.12074717E+01 0.19996841E+01 0.74888772E+01 0.35451041E-19
 0.34600000E+01 0.32217480E-18 0.72000000E+01 0.00000000E+00 0.12074717E+01 0.19996841E+01 0.74521056E+01 0.40628692E-19
 0.34700000E+01 0.37096336E-18 0.72000000E+01 0.00000000E+00 0.12074717E+01 0.19996841E+01 0.74154719E+01 0.46646483E-19
 0.34800000E+01 0.42781581E-18 0.72000000E+01 0.00000000E+00 0.12074717E+01 0.19996841E+01 0.73789755E+01 0.53640764E-19
 0.34900000E+01 0.49406957E-18 0.72000000E+01 0.00000000E+00 0.12074717E+01 0.19996841E+01 0.73426157E+01 0.61770348E-19
 0.35000000E+01 0.53583731E-18 0.72000000E+01 0.00000000E+00 0.12074717E+01 0.19996841E+01 0.73063919E+01 0.66800894E-19
 0.35100000E+01 0.61943458E-18 0.72000000E+01 0.00000000E+00 0.12074717E+01 0.19996841E+01 0.72703034E+01 0.77002655E-19
 0.35200000E+01 0.71679028E-18 0.72000000E+01 0.00000000E+00 0.12074717E+01 0.19996841E+01 0.72343495E+01 0.88851919E-19
 0.35300000E+01 0.83280197E-18 0.72000000E+01 0.00000000E+00 0.12074717E+01 0.19996841E+01 0.71985297E+01 0.10294006E-18
 0.35400000E+01 0.96987824E-18 0.72000000E+01 0.00000000E+00 0.12074717E+01 0.19996841E+01 0.71628432E+01 0.11954497E-18
 0.35500000E+01 0.11354772E-17 0.72000000E+01 0.00000000E+00 0.12074717E+01 0.19996841E+01 0.71272895E+01 0.13956208E-18
 0.35600000E+01 0.12195966E-17 0.72000000E+01 0.00000000E+00 0.12074717E+01 0.19996841E+01 0.70918678E+01 0.14948017E-18
 0.35700000E+01 0.14283384E-17 0.72000000E+01 0.00000000E+00 0.12074717E+01 0.19996841E+01 0.70565776E+01 0.17457428E-18
 0.35800000E+01 0.16790429E-17 0.72000000E+01 0.00000000E+00 0.12074717E+01 0.19996841E+01 0.70214183E+01 0.20464265E-18
 0.35900000E+01 0.19784500E-17 0.72000000E+01 0.00000000E+00 0.12074717E+01 0.19996841E+01 0.69863891E+01 0.24046286E-18
 0.36000000E+01 0.23404981E-17 0.72000000E+01 0.00000000E+00 0.12074717E+01 0.19996841E+01 0.69514896E+01 0.28367637E-18
 0.36100000E+01 0.27753878E-17 0.72000000E+01 0.00000000E+00 0.12074717E+01 0.19996841E+01 0.69167190E+01 0.33545467E-18
 0.36200000E+01 0.32973587E-17 0.72000000E+01 0.00000000E+00 0.12074717E+01 0.19996841E+01 0.68820767E+01 0.39744312E-18
 0.36300000E+01 0.35029200E-17 0.72000000E+01 0.00000000E+00 0.12074717E+01 0.19996841E+01 0.68475622E+01 0.42105707E-18
 0.36400000E+01 0.41679441E-17 0.72000000E+01 0.00000000E+00 0.12074717E+01 0.19996841E+01 0.68131748E+01 0.49961776E-18
 0.36500000E+01 0.49676465E-17 0.72000000E+01 0.00000000E+00 0.12074717E+01 0.19996841E+01 0.67789140E+01 0.59384785E-18
 0.36600000E+01 0.59329824E-17 0.72000000E+01 0.00000000E+00 0.12074717E+01 0.19996841E+01 0.67447790E+01 0.70730926E-18
 0.36700000E+01 0.70976870E-17 0.72000000E+01 0.00000000E+00 0.12074717E+01 0.19996841E+01 0.67107694E+01 0.84385562E-18
 0.36800000E+01 0.84990980E-17 0.72000000E+01 0.00000000E+00 0.12074717E+01 0.19996841E+01 0.66768845E+01 0.10077258E-17
 0.36900000E+01 0.10184784E-16 0.72000000E+01 0.00000000E+00 0.12074717E+01 0.19996841E+01 0.66431238E+01 0.12043226E-17
 0.37000000E+01 0.12210769E-16 0.72000000E+01 0.00000000E+00 0.12074717E+01 0.19996841E+01 0.66094865E+01 0.14399873E-17
 0.37100000E+01 0.14645444E-16 0.72000000E+01 0.00000000E+00 0.12074717E+01 0.19996841E+01 0.65759722E+01 0.17224475E-17
 0.37200000E+01 0.17563628E-16 0.72000000E+01 0.00000000E+00 0.12074717E+01 0.19996841E+01 0.65425803E+01 0.20601017E-17
 0.37300000E+01 0.18568027E-16 0.72000000E+01 0.00000000E+00 0.12074717E+01 0.19996841E+01 0.65093102E+01 0.21720724E-17
 0.37400000E+01 0.22267930E-16 0.72000000E+01 0.00000000E+00 0.12074717E+01 0.19996841E+01 0.64761612E+01 0.25979191E-17
 0.37500000E+01 0.26690471E-16 0.72000000E+01 0.00000000E+00 0.12074717E+01 0.19996841E+01 0.64431329E+01 0.31055773E-17
 0.37600000E+01 0.31967757E-16 0.72000000E+01 0.00000000E+00 0.12074717E+01 0.19996841E+01 0.64102246E+01 0.37097247E-17
 0.37700000E+01 0.38255323E-16 0.72000000E+01 0.00000000E+00 0.12074717E+01 0.19996841E+01 0.63774359E+01 0.44275951E-17
 0.37800000E+01 0.45722734E-16 0.72000000E+01 0.00000000E+00 0.12074717E+01 0.19996841E+01 0.63447660E+01 0.52778588E-17
 0.37900000E+01 0.54577482E-16 0.72000000E+01 0.00000000E+00 0.12074717E+01 0.19996841E+01 0.63122145E+01 0.62833559E-17
 0.38000000E+01 0.65048096E-16 0.72000000E+01 0.00000000E+00 0.12074717E+01 0.19996841E+01 0.62797808E+01 0.74691016E-17
 0.38100000E+01 0.77397958E-16 0.72000000E+01 0.00000000E+00 0.12074717E+01 0.19996841E+01 0.62474643E+01 0.88638398E-17
 0.38200000E+01 0.91893287E-16 0.72000000E+01 0.00000000E+00 0.12074717E+01 0.19996841E+01 0.62152646E+01 0.10496338E-16
 0.38300000E+01 0.10877200E-15 0.72000000E+01 0.00000000E+00 0.12074717E+01 0.19996841E+01 0.61831809E+01 0.12391838E-16
 0.38400000E+01 0.12834640E-15 0.72000000E+01 0.00000000E+00 0.12074717E+01 0.19996841E+01 0.61512128E+01 0.14583771E-16
