     k            crst-ang           q             ang            pmin          pmax          -t          crst-t
 0.49493769E+01 0.22904782E-02 0.77000000E+01 0.00000000E+00 0.17141723E+00 0.34294137E+01 0.41004587E+01 0.18881426E-03
 0.49593769E+01 0.24478840E-02 0.77000000E+01 0.00000000E+00 0.17035386E+00 0.34294137E+01 0.40770454E+01 0.20138302E-03
 0.49693769E+01 0.26153556E-02 0.77000000E+01 0.00000000E+00 0.16929880E+00 0.34294137E+01 0.40537059E+01 0.21472764E-03
 0.49793769E+01 0.27935196E-02 0.77000000E+01 0.00000000E+00 0.16825204E+00 0.34294137E+01 0.40304401E+01 0.22889477E-03
 0.49893769E+01 0.29829929E-02 0.77000000E+01 0.00000000E+00 0.16721356E+00 0.34294137E+01 0.40072475E+01 0.24392990E-03
 0.49993769E+01 0.31844342E-02 0.77000000E+01 0.00000000E+00 0.16618336E+00 0.34294137E+01 0.39841279E+01 0.25988161E-03
 0.50093769E+01 0.33985671E-02 0.77000000E+01 0.00000000E+00 0.16516142E+00 0.34294137E+01 0.39610808E+01 0.27680331E-03
 0.50193769E+01 0.36261265E-02 0.77000000E+01 0.00000000E+00 0.16414774E+00 0.34294137E+01 0.39381061E+01 0.29474896E-03
 0.50293769E+01 0.38678826E-02 0.77000000E+01 0.00000000E+00 0.16314230E+00 0.34294137E+01 0.39152034E+01 0.31377493E-03
 0.50393769E+01 0.41246562E-02 0.77000000E+01 0.00000000E+00 0.16214510E+00 0.34294137E+01 0.38923723E+01 0.33394124E-03
 0.50493769E+01 0.43973059E-02 0.77000000E+01 0.00000000E+00 0.16115612E+00 0.34294137E+01 0.38696127E+01 0.35531050E-03
 0.50593769E+01 0.46867832E-02 0.77000000E+01 0.00000000E+00 0.16017536E+00 0.34294137E+01 0.38469240E+01 0.37795229E-03
 0.50693769E+01 0.49939973E-02 0.77000000E+01 0.00000000E+00 0.15920281E+00 0.34294137E+01 0.38243062E+01 0.40193226E-03
 0.50793769E+01 0.53199866E-02 0.77000000E+01 0.00000000E+00 0.15823847E+00 0.34294137E+01 0.38017588E+01 0.42732593E-03
 0.50893769E+01 0.56657755E-02 0.77000000E+01 0.00000000E+00 0.15728232E+00 0.34294137E+01 0.37792816E+01 0.45420707E-03
 0.50993769E+01 0.60325597E-02 0.77000000E+01 0.00000000E+00 0.15633437E+00 0.34294137E+01 0.37568742E+01 0.48266261E-03
 0.51093769E+01 0.64214722E-02 0.77000000E+01 0.00000000E+00 0.15539460E+00 0.34294137E+01 0.37345363E+01 0.51277378E-03
 0.51193769E+01 0.68337720E-02 0.77000000E+01 0.00000000E+00 0.15446302E+00 0.34294137E+01 0.37122677E+01 0.54463121E-03
 0.51293769E+01 0.72707920E-02 0.77000000E+01 0.00000000E+00 0.15353962E+00 0.34294137E+01 0.36900681E+01 0.57833071E-03
 0.51393769E+01 0.77339081E-02 0.77000000E+01 0.00000000E+00 0.15262440E+00 0.34294137E+01 0.36679371E+01 0.61397075E-03
 0.51493769E+01 0.82245698E-02 0.77000000E+01 0.00000000E+00 0.15171736E+00 0.34294137E+01 0.36458745E+01 0.65165488E-03
 0.51593769E+01 0.87442985E-02 0.77000000E+01 0.00000000E+00 0.15081849E+00 0.34294137E+01 0.36238800E+01 0.69149153E-03
 0.51693769E+01 0.92947423E-02 0.77000000E+01 0.00000000E+00 0.14992780E+00 0.34294137E+01 0.36019532E+01 0.73359827E-03
 0.51793769E+01 0.98775550E-02 0.77000000E+01 0.00000000E+00 0.14904529E+00 0.34294137E+01 0.35800940E+01 0.77809225E-03
 0.51893769E+01 0.10494522E-01 0.77000000E+01 0.00000000E+00 0.14817095E+00 0.34294137E+01 0.35583020E+01 0.82510002E-03
 0.51993769E+01 0.11147520E-01 0.77000000E+01 0.00000000E+00 0.14730480E+00 0.34294137E+01 0.35365768E+01 0.87475431E-03
 0.52093769E+01 0.11838543E-01 0.77000000E+01 0.00000000E+00 0.14644684E+00 0.34294137E+01 0.35149184E+01 0.92719615E-03
 0.52193769E+01 0.12569576E-01 0.77000000E+01 0.00000000E+00 0.14559706E+00 0.34294137E+01 0.34933262E+01 0.98256464E-03
 0.52293769E+01 0.13342919E-01 0.77000000E+01 0.00000000E+00 0.14475549E+00 0.34294137E+01 0.34718002E+01 0.10410223E-02
 0.52393769E+01 0.14160744E-01 0.77000000E+01 0.00000000E+00 0.14392211E+00 0.34294137E+01 0.34503399E+01 0.11027208E-02
 0.52493769E+01 0.15025478E-01 0.77000000E+01 0.00000000E+00 0.14309695E+00 0.34294137E+01 0.34289452E+01 0.11678301E-02
 0.52593769E+01 0.15939687E-01 0.77000000E+01 0.00000000E+00 0.14228001E+00 0.34294137E+01 0.34076157E+01 0.12365299E-02
 0.52693769E+01 0.16905984E-01 0.77000000E+01 0.00000000E+00 0.14147130E+00 0.34294137E+01 0.33863512E+01 0.13090021E-02
 0.52793769E+01 0.17927145E-01 0.77000000E+01 0.00000000E+00 0.14067083E+00 0.34294137E+01 0.33651513E+01 0.13854396E-02
 0.52893769E+01 0.19006203E-01 0.77000000E+01 0.00000000E+00 0.13987863E+00 0.34294137E+01 0.33440159E+01 0.14660541E-02
 0.52993769E+01 0.20146098E-01 0.77000000E+01 0.00000000E+00 0.13909469E+00 0.34294137E+01 0.33229446E+01 0.15510482E-02
 0.53093769E+01 0.21350229E-01 0.77000000E+01 0.00000000E+00 0.13831903E+00 0.34294137E+01 0.33019371E+01 0.16406583E-02
 0.53193769E+01 0.22621842E-01 0.77000000E+01 0.00000000E+00 0.13755169E+00 0.34294137E+01 0.32809933E+01 0.17351073E-02
 0.53293769E+01 0.23964601E-01 0.77000000E+01 0.00000000E+00 0.13679266E+00 0.34294137E+01 0.32601128E+01 0.18346487E-02
 0.53393769E+01 0.25382144E-01 0.77000000E+01 0.00000000E+00 0.13604198E+00 0.34294137E+01 0.32392954E+01 0.19395316E-02
 0.53493769E+01 0.26878587E-01 0.77000000E+01 0.00000000E+00 0.13529966E+00 0.34294137E+01 0.32185408E+01 0.20500402E-02
 0.53593769E+01 0.28457841E-01 0.77000000E+01 0.00000000E+00 0.13456572E+00 0.34294137E+01 0.31978487E+01 0.21664406E-02
 0.53693769E+01 0.30124287E-01 0.77000000E+01 0.00000000E+00 0.13384021E+00 0.34294137E+01 0.31772189E+01 0.22890329E-02
 0.53793769E+01 0.31882574E-01 0.77000000E+01 0.00000000E+00 0.13312313E+00 0.34294137E+01 0.31566512E+01 0.24181350E-02
 0.53893769E+01 0.33737343E-01 0.77000000E+01 0.00000000E+00 0.13241452E+00 0.34294137E+01 0.31361452E+01 0.25540622E-02
 0.53993769E+01 0.35693525E-01 0.77000000E+01 0.00000000E+00 0.13171441E+00 0.34294137E+01 0.31157006E+01 0.26971490E-02
 0.54093769E+01 0.37756615E-01 0.77000000E+01 0.00000000E+00 0.13102283E+00 0.34294137E+01 0.30953174E+01 0.28477703E-02
 0.54193769E+01 0.39931856E-01 0.77000000E+01 0.00000000E+00 0.13033982E+00 0.34294137E+01 0.30749951E+01 0.30062790E-02
 0.54293769E+01 0.42225119E-01 0.77000000E+01 0.00000000E+00 0.12966541E+00 0.34294137E+01 0.30547336E+01 0.31730728E-02
 0.54393769E+01 0.44642271E-01 0.77000000E+01 0.00000000E+00 0.12899965E+00 0.34294137E+01 0.30345325E+01 0.33485460E-02
 0.54493769E+01 0.47189905E-01 0.77000000E+01 0.00000000E+00 0.12834257E+00 0.34294137E+01 0.30143917E+01 0.35331445E-02
 0.54593769E+01 0.49874515E-01 0.77000000E+01 0.00000000E+00 0.12769423E+00 0.34294137E+01 0.29943108E+01 0.37273034E-02
 0.54693769E+01 0.52703349E-01 0.77000000E+01 0.00000000E+00 0.12705466E+00 0.34294137E+01 0.29742897E+01 0.39315111E-02
 0.54793769E+01 0.55683426E-01 0.77000000E+01 0.00000000E+00 0.12642391E+00 0.34294137E+01 0.29543281E+01 0.41462351E-02
 0.54893769E+01 0.58822518E-01 0.77000000E+01 0.00000000E+00 0.12580204E+00 0.34294137E+01 0.29344257E+01 0.43719955E-02
 0.54993769E+01 0.62129023E-01 0.77000000E+01 0.00000000E+00 0.12518911E+00 0.34294137E+01 0.29145823E+01 0.46093552E-02
 0.55093769E+01 0.65611221E-01 0.77000000E+01 0.00000000E+00 0.12458516E+00 0.34294137E+01 0.28947976E+01 0.48588644E-02
 0.55193769E+01 0.69277978E-01 0.77000000E+01 0.00000000E+00 0.12399027E+00 0.34294137E+01 0.28750715E+01 0.51211123E-02
 0.55293769E+01 0.73138499E-01 0.77000000E+01 0.00000000E+00 0.12340449E+00 0.34294137E+01 0.28554036E+01 0.53967089E-02
 0.55393769E+01 0.77202880E-01 0.77000000E+01 0.00000000E+00 0.12282789E+00 0.34294137E+01 0.28357938E+01 0.56863257E-02
 0.55493769E+01 0.81481156E-01 0.77000000E+01 0.00000000E+00 0.12226054E+00 0.34294137E+01 0.28162417E+01 0.59906245E-02
 0.55593769E+01 0.85983815E-01 0.77000000E+01 0.00000000E+00 0.12170252E+00 0.34294137E+01 0.27967472E+01 0.63102960E-02
 0.55693769E+01 0.90722392E-01 0.77000000E+01 0.00000000E+00 0.12115390E+00 0.34294137E+01 0.27773100E+01 0.66461024E-02
 0.55793769E+01 0.95708487E-01 0.77000000E+01 0.00000000E+00 0.12061477E+00 0.34294137E+01 0.27579298E+01 0.69988050E-02
 0.55893769E+01 0.10095436E+00 0.77000000E+01 0.00000000E+00 0.12008521E+00 0.34294137E+01 0.27386065E+01 0.73692085E-02
 0.55993769E+01 0.10647301E+00 0.77000000E+01 0.00000000E+00 0.11956530E+00 0.34294137E+01 0.27193398E+01 0.77581642E-02
 0.56093769E+01 0.11227785E+00 0.77000000E+01 0.00000000E+00 0.11905515E+00 0.34294137E+01 0.27001295E+01 0.81665494E-02
 0.56193769E+01 0.11838285E+00 0.77000000E+01 0.00000000E+00 0.11855485E+00 0.34294137E+01 0.26809754E+01 0.85952752E-02
 0.56293769E+01 0.12480304E+00 0.77000000E+01 0.00000000E+00 0.11806450E+00 0.34294137E+01 0.26618771E+01 0.90453209E-02
 0.56393769E+01 0.13155411E+00 0.77000000E+01 0.00000000E+00 0.11758421E+00 0.34294137E+01 0.26428345E+01 0.95177095E-02
 0.56493769E+01 0.13865188E+00 0.77000000E+01 0.00000000E+00 0.11711409E+00 0.34294137E+01 0.26238474E+01 0.10013464E-01
 0.56593769E+01 0.14611372E+00 0.77000000E+01 0.00000000E+00 0.11665426E+00 0.34294137E+01 0.26049156E+01 0.10533714E-01
 0.56693769E+01 0.15395734E+00 0.77000000E+01 0.00000000E+00 0.11620484E+00 0.34294137E+01 0.25860387E+01 0.11079603E-01
 0.56793769E+01 0.16220097E+00 0.77000000E+01 0.00000000E+00 0.11576596E+00 0.34294137E+01 0.25672166E+01 0.11652307E-01
 0.56893769E+01 0.17086434E+00 0.77000000E+01 0.00000000E+00 0.11533775E+00 0.34294137E+01 0.25484491E+01 0.12253097E-01
 0.56993769E+01 0.17996782E+00 0.77000000E+01 0.00000000E+00 0.11492034E+00 0.34294137E+01 0.25297360E+01 0.12883285E-01
 0.57093769E+01 0.18953269E+00 0.77000000E+01 0.00000000E+00 0.11451389E+00 0.34294137E+01 0.25110769E+01 0.13544237E-01
 0.57193769E+01 0.19958095E+00 0.77000000E+01 0.00000000E+00 0.11411853E+00 0.34294137E+01 0.24924718E+01 0.14237361E-01
 0.57293769E+01 0.21013636E+00 0.77000000E+01 0.00000000E+00 0.11373444E+00 0.34294137E+01 0.24739203E+01 0.14964181E-01
 0.57393769E+01 0.22122226E+00 0.77000000E+01 0.00000000E+00 0.11336177E+00 0.34294137E+01 0.24554223E+01 0.15726179E-01
 0.57493769E+01 0.23286514E+00 0.77000000E+01 0.00000000E+00 0.11300069E+00 0.34294137E+01 0.24369775E+01 0.16525053E-01
 0.57593769E+01 0.24509091E+00 0.77000000E+01 0.00000000E+00 0.11265138E+00 0.34294137E+01 0.24185858E+01 0.17362443E-01
 0.57693769E+01 0.25792753E+00 0.77000000E+01 0.00000000E+00 0.11231402E+00 0.34294137E+01 0.24002469E+01 0.18240130E-01
 0.57793769E+01 0.27140362E+00 0.77000000E+01 0.00000000E+00 0.11198880E+00 0.34294137E+01 0.23819606E+01 0.19159923E-01
 0.57893769E+01 0.28554992E+00 0.77000000E+01 0.00000000E+00 0.11167593E+00 0.34294137E+01 0.23637267E+01 0.20123771E-01
 0.57993769E+01 0.30039813E+00 0.77000000E+01 0.00000000E+00 0.11137560E+00 0.34294137E+01 0.23455450E+01 0.21133675E-01
 0.58093769E+01 0.31598032E+00 0.77000000E+01 0.00000000E+00 0.11108804E+00 0.34294137E+01 0.23274153E+01 0.22191652E-01
 0.58193769E+01 0.33233112E+00 0.77000000E+01 0.00000000E+00 0.11081347E+00 0.34294137E+01 0.23093373E+01 0.23299879E-01
