     k            crst-ang           q             ang            pmin          pmax          -t          crst-t
 0.49493769E+01 0.22220180E-02 0.77000000E+01 0.00000000E+00 0.17141723E+00 0.34294137E+01 0.41004587E+01 0.18317078E-03
 0.49593769E+01 0.23747038E-02 0.77000000E+01 0.00000000E+00 0.17035386E+00 0.34294137E+01 0.40770454E+01 0.19536262E-03
 0.49693769E+01 0.25371264E-02 0.77000000E+01 0.00000000E+00 0.16929880E+00 0.34294137E+01 0.40537059E+01 0.20830482E-03
 0.49793769E+01 0.27098885E-02 0.77000000E+01 0.00000000E+00 0.16825204E+00 0.34294137E+01 0.40304401E+01 0.22204222E-03
 0.49893769E+01 0.28935815E-02 0.77000000E+01 0.00000000E+00 0.16721356E+00 0.34294137E+01 0.40072475E+01 0.23661842E-03
 0.49993769E+01 0.30888369E-02 0.77000000E+01 0.00000000E+00 0.16618336E+00 0.34294137E+01 0.39841279E+01 0.25207991E-03
 0.50093769E+01 0.32963489E-02 0.77000000E+01 0.00000000E+00 0.16516142E+00 0.34294137E+01 0.39610808E+01 0.26847794E-03
 0.50193769E+01 0.35168212E-02 0.77000000E+01 0.00000000E+00 0.16414774E+00 0.34294137E+01 0.39381061E+01 0.28586410E-03
 0.50293769E+01 0.37509903E-02 0.77000000E+01 0.00000000E+00 0.16314230E+00 0.34294137E+01 0.39152034E+01 0.30429226E-03
 0.50393769E+01 0.39996413E-02 0.77000000E+01 0.00000000E+00 0.16214510E+00 0.34294137E+01 0.38923723E+01 0.32381976E-03
 0.50493769E+01 0.42635936E-02 0.77000000E+01 0.00000000E+00 0.16115612E+00 0.34294137E+01 0.38696127E+01 0.34450629E-03
 0.50593769E+01 0.45437582E-02 0.77000000E+01 0.00000000E+00 0.16017536E+00 0.34294137E+01 0.38469240E+01 0.36641844E-03
 0.50693769E+01 0.48409996E-02 0.77000000E+01 0.00000000E+00 0.15920281E+00 0.34294137E+01 0.38243062E+01 0.38961854E-03
 0.50793769E+01 0.51563082E-02 0.77000000E+01 0.00000000E+00 0.15823847E+00 0.34294137E+01 0.38017588E+01 0.41417852E-03
 0.50893769E+01 0.54906556E-02 0.77000000E+01 0.00000000E+00 0.15728232E+00 0.34294137E+01 0.37792816E+01 0.44016827E-03
 0.50993769E+01 0.58451800E-02 0.77000000E+01 0.00000000E+00 0.15633437E+00 0.34294137E+01 0.37568742E+01 0.46767044E-03
 0.51093769E+01 0.62209557E-02 0.77000000E+01 0.00000000E+00 0.15539460E+00 0.34294137E+01 0.37345363E+01 0.49676194E-03
