     k            crst-ang           q             ang            pmin          pmax          -t          crst-t
 0.46335892E+00 0.33468174E+01 0.18000000E+01 0.00000000E+00 0.10708168E+00 0.18255323E+01 0.13239480E+01 0.12606422E+02
 0.46835892E+00 0.35777284E+01 0.18000000E+01 0.00000000E+00 0.10580801E+00 0.18255323E+01 0.13134294E+01 0.13332326E+02
 0.47335892E+00 0.38196411E+01 0.18000000E+01 0.00000000E+00 0.10458838E+00 0.18255323E+01 0.13029770E+01 0.14083460E+02
 0.47835892E+00 0.40727454E+01 0.18000000E+01 0.00000000E+00 0.10342270E+00 0.18255323E+01 0.12925904E+01 0.14859724E+02
 0.48335892E+00 0.43372431E+01 0.18000000E+01 0.00000000E+00 0.10231079E+00 0.18255323E+01 0.12822694E+01 0.15661068E+02
 0.48835892E+00 0.46133086E+01 0.18000000E+01 0.00000000E+00 0.10125246E+00 0.18255323E+01 0.12720135E+01 0.16487345E+02
 0.49335892E+00 0.49011078E+01 0.18000000E+01 0.00000000E+00 0.10024743E+00 0.18255323E+01 0.12618224E+01 0.17338384E+02
 0.49835892E+00 0.52008033E+01 0.18000000E+01 0.00000000E+00 0.99295376E-01 0.18255323E+01 0.12516956E+01 0.18214009E+02
 0.50335892E+00 0.55125483E+01 0.18000000E+01 0.00000000E+00 0.98395901E-01 0.18255323E+01 0.12416329E+01 0.19114018E+02
 0.50835892E+00 0.58364702E+01 0.18000000E+01 0.00000000E+00 0.97548551E-01 0.18255323E+01 0.12316338E+01 0.20038130E+02
 0.51335892E+00 0.61726976E+01 0.18000000E+01 0.00000000E+00 0.96752805E-01 0.18255323E+01 0.12216980E+01 0.20986076E+02
 0.51835892E+00 0.65213645E+01 0.18000000E+01 0.00000000E+00 0.96008076E-01 0.18255323E+01 0.12118250E+01 0.21957620E+02
 0.52335892E+00 0.68825733E+01 0.18000000E+01 0.00000000E+00 0.95313712E-01 0.18255323E+01 0.12020146E+01 0.22952425E+02
 0.52835892E+00 0.72564517E+01 0.18000000E+01 0.00000000E+00 0.94668994E-01 0.18255323E+01 0.11922664E+01 0.23970253E+02
 0.53335892E+00 0.76431169E+01 0.18000000E+01 0.00000000E+00 0.94073140E-01 0.18255323E+01 0.11825799E+01 0.25010841E+02
 0.53835892E+00 0.80426925E+01 0.18000000E+01 0.00000000E+00 0.93525303E-01 0.18255323E+01 0.11729549E+01 0.26073955E+02
 0.54335892E+00 0.84552947E+01 0.18000000E+01 0.00000000E+00 0.93024575E-01 0.18255323E+01 0.11633909E+01 0.27159346E+02
 0.54835892E+00 0.88810532E+01 0.18000000E+01 0.00000000E+00 0.92569987E-01 0.18255323E+01 0.11538876E+01 0.28266818E+02
 0.55335892E+00 0.93201026E+01 0.18000000E+01 0.00000000E+00 0.92160514E-01 0.18255323E+01 0.11444446E+01 0.29396196E+02
 0.55835892E+00 0.97725846E+01 0.18000000E+01 0.00000000E+00 0.91795077E-01 0.18255323E+01 0.11350615E+01 0.30547336E+02
 0.56335892E+00 0.10238641E+02 0.18000000E+01 0.00000000E+00 0.91472548E-01 0.18255323E+01 0.11257379E+01 0.31720097E+02
 0.56835892E+00 0.10718427E+02 0.18000000E+01 0.00000000E+00 0.91191751E-01 0.18255323E+01 0.11164736E+01 0.32914383E+02
 0.57335892E+00 0.11212127E+02 0.18000000E+01 0.00000000E+00 0.90951466E-01 0.18255323E+01 0.11072681E+01 0.34130197E+02
 0.57835892E+00 0.11719918E+02 0.18000000E+01 0.00000000E+00 0.90750438E-01 0.18255323E+01 0.10981210E+01 0.35367511E+02
 0.58335892E+00 0.12242009E+02 0.18000000E+01 0.00000000E+00 0.90587376E-01 0.18255323E+01 0.10890321E+01 0.36626399E+02
 0.58835892E+00 0.12778592E+02 0.18000000E+01 0.00000000E+00 0.90460961E-01 0.18255323E+01 0.10800008E+01 0.37906878E+02
 0.59335892E+00 0.13329919E+02 0.18000000E+01 0.00000000E+00 0.90369849E-01 0.18255323E+01 0.10710270E+01 0.39209147E+02
 0.59835892E+00 0.13896253E+02 0.18000000E+01 0.00000000E+00 0.90312676E-01 0.18255323E+01 0.10621101E+01 0.40533425E+02
 0.60335892E+00 0.14477865E+02 0.18000000E+01 0.00000000E+00 0.90288064E-01 0.18255323E+01 0.10532498E+01 0.41879949E+02
 0.60835892E+00 0.15075083E+02 0.18000000E+01 0.00000000E+00 0.90288064E-01 0.18255323E+01 0.10444458E+01 0.43249112E+02
 0.61335892E+00 0.15688195E+02 0.18000000E+01 0.00000000E+00 0.90288064E-01 0.18255323E+01 0.10356977E+01 0.44641178E+02
 0.61835892E+00 0.16317603E+02 0.18000000E+01 0.00000000E+00 0.90288064E-01 0.18255323E+01 0.10270052E+01 0.46056729E+02
 0.62335892E+00 0.16963645E+02 0.18000000E+01 0.00000000E+00 0.90288064E-01 0.18255323E+01 0.10183678E+01 0.47496143E+02
 0.62835892E+00 0.17626774E+02 0.18000000E+01 0.00000000E+00 0.90288064E-01 0.18255323E+01 0.10097853E+01 0.48960112E+02
 0.63335892E+00 0.18307439E+02 0.18000000E+01 0.00000000E+00 0.90288064E-01 0.18255323E+01 0.10012572E+01 0.50449290E+02
 0.63835892E+00 0.19006129E+02 0.18000000E+01 0.00000000E+00 0.90288064E-01 0.18255323E+01 0.99278319E+00 0.51964421E+02
 0.64335892E+00 0.19723331E+02 0.18000000E+01 0.00000000E+00 0.90288064E-01 0.18255323E+01 0.98436296E+00 0.53506223E+02
 0.64835892E+00 0.20459613E+02 0.18000000E+01 0.00000000E+00 0.90288064E-01 0.18255323E+01 0.97599612E+00 0.55075607E+02
 0.65335892E+00 0.21215600E+02 0.18000000E+01 0.00000000E+00 0.90288064E-01 0.18255323E+01 0.96768233E+00 0.56673608E+02
 0.65835892E+00 0.21991912E+02 0.18000000E+01 0.00000000E+00 0.90288064E-01 0.18255323E+01 0.95942122E+00 0.58301217E+02
 0.66335892E+00 0.22789194E+02 0.18000000E+01 0.00000000E+00 0.90288064E-01 0.18255323E+01 0.95121244E+00 0.59959465E+02
 0.66835892E+00 0.23608194E+02 0.18000000E+01 0.00000000E+00 0.90288064E-01 0.18255323E+01 0.94305565E+00 0.61649616E+02
 0.67335892E+00 0.24449704E+02 0.18000000E+01 0.00000000E+00 0.90288064E-01 0.18255323E+01 0.93495050E+00 0.63373011E+02
 0.67835892E+00 0.25314502E+02 0.18000000E+01 0.00000000E+00 0.90288064E-01 0.18255323E+01 0.92689663E+00 0.65130920E+02
 0.68335892E+00 0.26203469E+02 0.18000000E+01 0.00000000E+00 0.90288064E-01 0.18255323E+01 0.91889371E+00 0.66924830E+02
 0.68835892E+00 0.27117554E+02 0.18000000E+01 0.00000000E+00 0.90288064E-01 0.18255323E+01 0.91094139E+00 0.68756369E+02
 0.69335892E+00 0.28057674E+02 0.18000000E+01 0.00000000E+00 0.90288064E-01 0.18255323E+01 0.90303932E+00 0.70627025E+02
 0.69835892E+00 0.29024914E+02 0.18000000E+01 0.00000000E+00 0.90288064E-01 0.18255323E+01 0.89518716E+00 0.72538675E+02
 0.70335892E+00 0.30020296E+02 0.18000000E+01 0.00000000E+00 0.90288064E-01 0.18255323E+01 0.88738457E+00 0.74492976E+02
 0.70835892E+00 0.31045028E+02 0.18000000E+01 0.00000000E+00 0.90288064E-01 0.18255323E+01 0.87963121E+00 0.76492006E+02
 0.71335892E+00 0.32100337E+02 0.18000000E+01 0.00000000E+00 0.90288064E-01 0.18255323E+01 0.87192674E+00 0.78537822E+02
 0.71835892E+00 0.33187450E+02 0.18000000E+01 0.00000000E+00 0.90288064E-01 0.18255323E+01 0.86427084E+00 0.80632431E+02
 0.72335892E+00 0.34307757E+02 0.18000000E+01 0.00000000E+00 0.90288064E-01 0.18255323E+01 0.85666315E+00 0.82778175E+02
 0.72835892E+00 0.35462710E+02 0.18000000E+01 0.00000000E+00 0.90288064E-01 0.18255323E+01 0.84910335E+00 0.84977477E+02
 0.73335892E+00 0.36653782E+02 0.18000000E+01 0.00000000E+00 0.90288064E-01 0.18255323E+01 0.84159112E+00 0.87232752E+02
 0.73835892E+00 0.37882553E+02 0.18000000E+01 0.00000000E+00 0.90288064E-01 0.18255323E+01 0.83412610E+00 0.89546594E+02
 0.74335892E+00 0.39150747E+02 0.18000000E+01 0.00000000E+00 0.90288064E-01 0.18255323E+01 0.82670799E+00 0.91921871E+02
 0.74835892E+00 0.40460100E+02 0.18000000E+01 0.00000000E+00 0.90288064E-01 0.18255323E+01 0.81933645E+00 0.94361398E+02
 0.75335892E+00 0.41812487E+02 0.18000000E+01 0.00000000E+00 0.90288064E-01 0.18255323E+01 0.81201115E+00 0.96868242E+02
 0.75835892E+00 0.43209828E+02 0.18000000E+01 0.00000000E+00 0.90288064E-01 0.18255323E+01 0.80473177E+00 0.99445492E+02
 0.76335892E+00 0.44654231E+02 0.18000000E+01 0.00000000E+00 0.90288064E-01 0.18255323E+01 0.79749800E+00 0.10209658E+03
 0.76835892E+00 0.46147874E+02 0.18000000E+01 0.00000000E+00 0.90288064E-01 0.18255323E+01 0.79030950E+00 0.10482501E+03
 0.77335892E+00 0.47692930E+02 0.18000000E+01 0.00000000E+00 0.90288064E-01 0.18255323E+01 0.78316597E+00 0.10763419E+03
 0.77835892E+00 0.49291884E+02 0.18000000E+01 0.00000000E+00 0.90288064E-01 0.18255323E+01 0.77606707E+00 0.11052814E+03
 0.78335892E+00 0.50947231E+02 0.18000000E+01 0.00000000E+00 0.90288064E-01 0.18255323E+01 0.76901251E+00 0.11351079E+03
 0.78835892E+00 0.52661626E+02 0.18000000E+01 0.00000000E+00 0.90288064E-01 0.18255323E+01 0.76200196E+00 0.11658633E+03
 0.79335892E+00 0.54437872E+02 0.18000000E+01 0.00000000E+00 0.90288064E-01 0.18255323E+01 0.75503511E+00 0.11975917E+03
 0.79835892E+00 0.56278954E+02 0.18000000E+01 0.00000000E+00 0.90288064E-01 0.18255323E+01 0.74811166E+00 0.12303401E+03
 0.80335892E+00 0.58187907E+02 0.18000000E+01 0.00000000E+00 0.90288064E-01 0.18255323E+01 0.74123129E+00 0.12641554E+03
 0.80835892E+00 0.60168074E+02 0.18000000E+01 0.00000000E+00 0.90288064E-01 0.18255323E+01 0.73439369E+00 0.12990900E+03
 0.81335892E+00 0.62222849E+02 0.18000000E+01 0.00000000E+00 0.90288064E-01 0.18255323E+01 0.72759857E+00 0.13351960E+03
 0.81835892E+00 0.64355944E+02 0.18000000E+01 0.00000000E+00 0.90288064E-01 0.18255323E+01 0.72084561E+00 0.13725311E+03
 0.82335892E+00 0.66571156E+02 0.18000000E+01 0.00000000E+00 0.90288064E-01 0.18255323E+01 0.71413452E+00 0.14111535E+03
 0.82835892E+00 0.68872569E+02 0.18000000E+01 0.00000000E+00 0.90288064E-01 0.18255323E+01 0.70746500E+00 0.14511259E+03
 0.83335892E+00 0.71264394E+02 0.18000000E+01 0.00000000E+00 0.90288064E-01 0.18255323E+01 0.70083675E+00 0.14925121E+03
 0.83835892E+00 0.73751367E+02 0.18000000E+01 0.00000000E+00 0.90288064E-01 0.18255323E+01 0.69424947E+00 0.15353855E+03
 0.84335892E+00 0.76337936E+02 0.18000000E+01 0.00000000E+00 0.90288064E-01 0.18255323E+01 0.68770286E+00 0.15798117E+03
 0.84835892E+00 0.79029406E+02 0.18000000E+01 0.00000000E+00 0.90288064E-01 0.18255323E+01 0.68119664E+00 0.16258723E+03
 0.85335892E+00 0.81830868E+02 0.18000000E+01 0.00000000E+00 0.90288064E-01 0.18255323E+01 0.67473052E+00 0.16736428E+03
 0.85835892E+00 0.84748082E+02 0.18000000E+01 0.00000000E+00 0.90288064E-01 0.18255323E+01 0.66830420E+00 0.17232104E+03
 0.86335892E+00 0.87786943E+02 0.18000000E+01 0.00000000E+00 0.90288064E-01 0.18255323E+01 0.66191740E+00 0.17746630E+03
 0.86835892E+00 0.90953634E+02 0.18000000E+01 0.00000000E+00 0.90288064E-01 0.18255323E+01 0.65556983E+00 0.18280924E+03
 0.87335892E+00 0.94254902E+02 0.18000000E+01 0.00000000E+00 0.90288064E-01 0.18255323E+01 0.64926120E+00 0.18835994E+03
 0.87835892E+00 0.97697722E+02 0.18000000E+01 0.00000000E+00 0.90288064E-01 0.18255323E+01 0.64299125E+00 0.19412871E+03
 0.88335892E+00 0.10128949E+03 0.18000000E+01 0.00000000E+00 0.90288064E-01 0.18255323E+01 0.63675968E+00 0.20012648E+03
 0.88835892E+00 0.10503807E+03 0.18000000E+01 0.00000000E+00 0.90288064E-01 0.18255323E+01 0.63056622E+00 0.20636479E+03
 0.89335892E+00 0.10895174E+03 0.18000000E+01 0.00000000E+00 0.90288064E-01 0.18255323E+01 0.62441058E+00 0.21285583E+03
 0.89835892E+00 0.11303924E+03 0.18000000E+01 0.00000000E+00 0.90288064E-01 0.18255323E+01 0.61829251E+00 0.21961232E+03
 0.90335892E+00 0.11730987E+03 0.18000000E+01 0.00000000E+00 0.90288064E-01 0.18255323E+01 0.61221172E+00 0.22664783E+03
 0.90835892E+00 0.12177350E+03 0.18000000E+01 0.00000000E+00 0.90288064E-01 0.18255323E+01 0.60616794E+00 0.23397673E+03
 0.91335892E+00 0.12644052E+03 0.18000000E+01 0.00000000E+00 0.90288064E-01 0.18255323E+01 0.60016090E+00 0.24161403E+03
 0.91835892E+00 0.13132216E+03 0.18000000E+01 0.00000000E+00 0.90288064E-01 0.18255323E+01 0.59419033E+00 0.24957606E+03
 0.92335892E+00 0.13643013E+03 0.18000000E+01 0.00000000E+00 0.90288064E-01 0.18255323E+01 0.58825598E+00 0.25787967E+03
 0.92835892E+00 0.14177707E+03 0.18000000E+01 0.00000000E+00 0.90288064E-01 0.18255323E+01 0.58235757E+00 0.26654309E+03
 0.93335892E+00 0.14737615E+03 0.18000000E+01 0.00000000E+00 0.90288064E-01 0.18255323E+01 0.57649484E+00 0.27558520E+03
 0.93835892E+00 0.15324152E+03 0.18000000E+01 0.00000000E+00 0.90288064E-01 0.18255323E+01 0.57066754E+00 0.28502622E+03
 0.94335892E+00 0.15938824E+03 0.18000000E+01 0.00000000E+00 0.90288064E-01 0.18255323E+01 0.56487540E+00 0.29488772E+03
 0.94835892E+00 0.16583193E+03 0.18000000E+01 0.00000000E+00 0.90288064E-01 0.18255323E+01 0.55911817E+00 0.30519174E+03
 0.95335892E+00 0.17258980E+03 0.18000000E+01 0.00000000E+00 0.90288064E-01 0.18255323E+01 0.55339558E+00 0.31596288E+03
 0.95835892E+00 0.17967949E+03 0.18000000E+01 0.00000000E+00 0.90288064E-01 0.18255323E+01 0.54770740E+00 0.32722590E+03
 0.96335892E+00 0.18712003E+03 0.18000000E+01 0.00000000E+00 0.90288064E-01 0.18255323E+01 0.54205336E+00 0.33900765E+03
 0.96835892E+00 0.19493176E+03 0.18000000E+01 0.00000000E+00 0.90288064E-01 0.18255323E+01 0.53643322E+00 0.35133677E+03
 0.97335892E+00 0.20313600E+03 0.18000000E+01 0.00000000E+00 0.90288064E-01 0.18255323E+01 0.53084673E+00 0.36424303E+03
 0.97835892E+00 0.21175578E+03 0.18000000E+01 0.00000000E+00 0.90288064E-01 0.18255323E+01 0.52529364E+00 0.37775866E+03
 0.98335892E+00 0.22081555E+03 0.18000000E+01 0.00000000E+00 0.90288064E-01 0.18255323E+01 0.51977371E+00 0.39191777E+03
 0.98835892E+00 0.23034127E+03 0.18000000E+01 0.00000000E+00 0.90288064E-01 0.18255323E+01 0.51428669E+00 0.40675644E+03
 0.99335892E+00 0.24036076E+03 0.18000000E+01 0.00000000E+00 0.90288064E-01 0.18255323E+01 0.50883234E+00 0.42231326E+03
 0.99835892E+00 0.25090378E+03 0.18000000E+01 0.00000000E+00 0.90288064E-01 0.18255323E+01 0.50341043E+00 0.43862952E+03
 0.10033589E+01 0.26200188E+03 0.18000000E+01 0.00000000E+00 0.90288064E-01 0.18255323E+01 0.49802072E+00 0.45574872E+03
 0.10083589E+01 0.27368856E+03 0.18000000E+01 0.00000000E+00 0.90288064E-01 0.18255323E+01 0.49266297E+00 0.47371689E+03
 0.10133589E+01 0.28599988E+03 0.18000000E+01 0.00000000E+00 0.90288064E-01 0.18255323E+01 0.48733694E+00 0.49258356E+03
 0.10183589E+01 0.29897403E+03 0.18000000E+01 0.00000000E+00 0.90288064E-01 0.18255323E+01 0.48204241E+00 0.51240098E+03
 0.10233589E+01 0.31265180E+03 0.18000000E+01 0.00000000E+00 0.90288064E-01 0.18255323E+01 0.47677914E+00 0.53322476E+03
 0.10283589E+01 0.32707669E+03 0.18000000E+01 0.00000000E+00 0.90288064E-01 0.18255323E+01 0.47154690E+00 0.55511406E+03
 0.10333589E+01 0.34229522E+03 0.18000000E+01 0.00000000E+00 0.90288064E-01 0.18255323E+01 0.46634547E+00 0.57813199E+03
 0.10383589E+01 0.35835732E+03 0.18000000E+01 0.00000000E+00 0.90288064E-01 0.18255323E+01 0.46117462E+00 0.60234615E+03
 0.10433589E+01 0.37531575E+03 0.18000000E+01 0.00000000E+00 0.90288064E-01 0.18255323E+01 0.45603413E+00 0.62782762E+03
 0.10483589E+01 0.39322739E+03 0.18000000E+01 0.00000000E+00 0.90288064E-01 0.18255323E+01 0.45092377E+00 0.65465294E+03
 0.10533589E+01 0.41215268E+03 0.18000000E+01 0.00000000E+00 0.90288064E-01 0.18255323E+01 0.44584332E+00 0.68290314E+03
 0.10583589E+01 0.43215638E+03 0.18000000E+01 0.00000000E+00 0.90288064E-01 0.18255323E+01 0.44079257E+00 0.71266481E+03
 0.10633589E+01 0.45330758E+03 0.18000000E+01 0.00000000E+00 0.90288064E-01 0.18255323E+01 0.43577129E+00 0.74403002E+03
 0.10683589E+01 0.47568005E+03 0.18000000E+01 0.00000000E+00 0.90288064E-01 0.18255323E+01 0.43077928E+00 0.77709680E+03
 0.10733589E+01 0.49935336E+03 0.18000000E+01 0.00000000E+00 0.90288064E-01 0.18255323E+01 0.42581631E+00 0.81197071E+03
 0.10783589E+01 0.52441233E+03 0.18000000E+01 0.00000000E+00 0.90288064E-01 0.18255323E+01 0.42088217E+00 0.84876394E+03
 0.10833589E+01 0.55094744E+03 0.18000000E+01 0.00000000E+00 0.90288064E-01 0.18255323E+01 0.41597666E+00 0.88759564E+03
 0.10883589E+01 0.57905558E+03 0.18000000E+01 0.00000000E+00 0.90288064E-01 0.18255323E+01 0.41109956E+00 0.92859313E+03
 0.10933589E+01 0.60884150E+03 0.18000000E+01 0.00000000E+00 0.90288064E-01 0.18255323E+01 0.40625067E+00 0.97189389E+03
 0.10983589E+01 0.64041564E+03 0.18000000E+01 0.00000000E+00 0.90288064E-01 0.18255323E+01 0.40142977E+00 0.10176420E+04
 0.11033589E+01 0.67389670E+03 0.18000000E+01 0.00000000E+00 0.90288064E-01 0.18255323E+01 0.39663667E+00 0.10659918E+04
 0.11083589E+01 0.70941210E+03 0.18000000E+01 0.00000000E+00 0.90288064E-01 0.18255323E+01 0.39187116E+00 0.11171090E+04
 0.11133589E+01 0.74709737E+03 0.18000000E+01 0.00000000E+00 0.90288064E-01 0.18255323E+01 0.38713304E+00 0.11711685E+04
 0.11183589E+01 0.78709789E+03 0.18000000E+01 0.00000000E+00 0.89623972E-01 0.18255323E+01 0.38242211E+00 0.12283578E+04
 0.11233589E+01 0.82956813E+03 0.18000000E+01 0.00000000E+00 0.88683314E-01 0.18255323E+01 0.37773817E+00 0.12888752E+04
 0.11283589E+01 0.87467357E+03 0.18000000E+01 0.00000000E+00 0.87710736E-01 0.18255323E+01 0.37308103E+00 0.13529324E+04
 0.11333589E+01 0.92258852E+03 0.18000000E+01 0.00000000E+00 0.86705776E-01 0.18255323E+01 0.36845048E+00 0.14207509E+04
 0.11383589E+01 0.97350197E+03 0.18000000E+01 0.00000000E+00 0.85667970E-01 0.18255323E+01 0.36384634E+00 0.14925709E+04
 0.11433589E+01 0.10276180E+04 0.18000000E+01 0.00000000E+00 0.84596862E-01 0.18255323E+01 0.35926841E+00 0.15686516E+04
 0.11483589E+01 0.10851530E+04 0.18000000E+01 0.00000000E+00 0.83492005E-01 0.18255323E+01 0.35471650E+00 0.16492659E+04
 0.11533589E+01 0.11463394E+04 0.18000000E+01 0.00000000E+00 0.82352965E-01 0.18255323E+01 0.35019042E+00 0.17347069E+04
 0.11583589E+01 0.12114219E+04 0.18000000E+01 0.00000000E+00 0.81179323E-01 0.18255323E+01 0.34568999E+00 0.18252806E+04
 0.11633589E+01 0.12806611E+04 0.18000000E+01 0.00000000E+00 0.79970686E-01 0.18255323E+01 0.34121502E+00 0.19213118E+04
 0.11683589E+01 0.13543334E+04 0.18000000E+01 0.00000000E+00 0.78726690E-01 0.18255323E+01 0.33676531E+00 0.20231435E+04
 0.11733589E+01 0.14327305E+04 0.18000000E+01 0.00000000E+00 0.77447011E-01 0.18255323E+01 0.33234070E+00 0.21311352E+04
 0.11783589E+01 0.15161593E+04 0.18000000E+01 0.00000000E+00 0.76131374E-01 0.18255323E+01 0.32794099E+00 0.22456632E+04
 0.11833589E+01 0.16049462E+04 0.18000000E+01 0.00000000E+00 0.74779567E-01 0.18255323E+01 0.32356601E+00 0.23671258E+04
 0.11883589E+01 0.16994396E+04 0.18000000E+01 0.00000000E+00 0.73391455E-01 0.18255323E+01 0.31921558E+00 0.24959475E+04
 0.11933589E+01 0.18000017E+04 0.18000000E+01 0.00000000E+00 0.71967000E-01 0.18255323E+01 0.31488952E+00 0.26325656E+04
 0.11983589E+01 0.19070159E+04 0.18000000E+01 0.00000000E+00 0.70506286E-01 0.18255323E+01 0.31058764E+00 0.27774404E+04
 0.12033589E+01 0.20208776E+04 0.18000000E+01 0.00000000E+00 0.69009545E-01 0.18255323E+01 0.30630979E+00 0.29310430E+04
 0.12083589E+01 0.21419971E+04 0.18000000E+01 0.00000000E+00 0.67477193E-01 0.18255323E+01 0.30205577E+00 0.30938573E+04
 0.12133589E+01 0.22707987E+04 0.18000000E+01 0.00000000E+00 0.65909872E-01 0.18255323E+01 0.29782543E+00 0.32663799E+04
 0.12183589E+01 0.24077207E+04 0.18000000E+01 0.00000000E+00 0.64308507E-01 0.18255323E+01 0.29361859E+00 0.34491194E+04
