     k            crst-ang           q             ang            pmin          pmax          -t          crst-t
 0.46335892E+00 0.33500904E+01 0.18000000E+01 0.00000000E+00 0.65435871E-01 0.18258687E+01 0.13239480E+01 0.12618751E+02
 0.46835892E+00 0.35807902E+01 0.18000000E+01 0.00000000E+00 0.63712763E-01 0.18258687E+01 0.13134294E+01 0.13343736E+02
 0.47335892E+00 0.38221527E+01 0.18000000E+01 0.00000000E+00 0.62057950E-01 0.18258687E+01 0.13029770E+01 0.14092720E+02
 0.47835892E+00 0.40743182E+01 0.18000000E+01 0.00000000E+00 0.60473592E-01 0.18258687E+01 0.12925904E+01 0.14865462E+02
 0.48335892E+00 0.43374253E+01 0.18000000E+01 0.00000000E+00 0.58961897E-01 0.18258687E+01 0.12822694E+01 0.15661726E+02
 0.48835892E+00 0.46115836E+01 0.18000000E+01 0.00000000E+00 0.57525103E-01 0.18258687E+01 0.12720135E+01 0.16481181E+02
 0.49335892E+00 0.48968996E+01 0.18000000E+01 0.00000000E+00 0.56165449E-01 0.18258687E+01 0.12618224E+01 0.17323497E+02
 0.49835892E+00 0.52731113E+01 0.18000000E+01 0.00000000E+00 0.54885141E-01 0.18258687E+01 0.12516956E+01 0.18467243E+02
 0.50335892E+00 0.55868362E+01 0.18000000E+01 0.00000000E+00 0.53686320E-01 0.18258687E+01 0.12416329E+01 0.19371602E+02
 0.50835892E+00 0.59123405E+01 0.18000000E+01 0.00000000E+00 0.52571014E-01 0.18258687E+01 0.12316338E+01 0.20298612E+02
 0.51335892E+00 0.62497044E+01 0.18000000E+01 0.00000000E+00 0.51541097E-01 0.18258687E+01 0.12216980E+01 0.21247886E+02
 0.51835892E+00 0.65990082E+01 0.18000000E+01 0.00000000E+00 0.50598234E-01 0.18258687E+01 0.12118250E+01 0.22219048E+02
 0.52335892E+00 0.69603189E+01 0.18000000E+01 0.00000000E+00 0.49743833E-01 0.18258687E+01 0.12020146E+01 0.23211695E+02
 0.52835892E+00 0.73337104E+01 0.18000000E+01 0.00000000E+00 0.48978993E-01 0.18258687E+01 0.11922664E+01 0.24225462E+02
 0.53335892E+00 0.77192548E+01 0.18000000E+01 0.00000000E+00 0.48304454E-01 0.18258687E+01 0.11825799E+01 0.25259990E+02
 0.53835892E+00 0.81169994E+01 0.18000000E+01 0.00000000E+00 0.47720556E-01 0.18258687E+01 0.11729549E+01 0.26314854E+02
 0.54335892E+00 0.85270255E+01 0.18000000E+01 0.00000000E+00 0.47227200E-01 0.18258687E+01 0.11633909E+01 0.27389753E+02
 0.54835892E+00 0.89493991E+01 0.18000000E+01 0.00000000E+00 0.46823821E-01 0.18258687E+01 0.11538876E+01 0.28484350E+02
 0.55335892E+00 0.93841994E+01 0.18000000E+01 0.00000000E+00 0.46509375E-01 0.18258687E+01 0.11444446E+01 0.29598362E+02
