     k            crst-ang           q             ang          -t          crst-t
 0.43755964E+01 0.82368318E-04 0.72000000E+01 0.00000000E+00 0.45940909E+01 0.82137279E-05
 0.43855964E+01 0.89365692E-04 0.72000000E+01 0.00000000E+00 0.45676745E+01 0.88911827E-05
 0.43955964E+01 0.96948009E-04 0.72000000E+01 0.00000000E+00 0.45413473E+01 0.96236198E-05
 0.44055964E+01 0.10516213E-03 0.72000000E+01 0.00000000E+00 0.45151090E+01 0.10415306E-04
 0.44155964E+01 0.11405906E-03 0.72000000E+01 0.00000000E+00 0.44889591E+01 0.11270880E-04
 0.44255964E+01 0.12369424E-03 0.72000000E+01 0.00000000E+00 0.44628972E+01 0.12195371E-04
 0.44355964E+01 0.13412774E-03 0.72000000E+01 0.00000000E+00 0.44369230E+01 0.13194227E-04
 0.44455964E+01 0.14542541E-03 0.72000000E+01 0.00000000E+00 0.44110360E+01 0.14273407E-04
 0.44555964E+01 0.15765550E-03 0.72000000E+01 0.00000000E+00 0.43852358E+01 0.15439052E-04
 0.44655964E+01 0.17089342E-03 0.72000000E+01 0.00000000E+00 0.43595221E+01 0.16697953E-04
 0.44755964E+01 0.18521809E-03 0.72000000E+01 0.00000000E+00 0.43338944E+01 0.18057178E-04
 0.44855964E+01 0.20071636E-03 0.72000000E+01 0.00000000E+00 0.43083524E+01 0.19524501E-04
 0.44955964E+01 0.21747942E-03 0.72000000E+01 0.00000000E+00 0.42828957E+01 0.21108055E-04
 0.45055964E+01 0.23560461E-03 0.72000000E+01 0.00000000E+00 0.42575239E+01 0.22816492E-04
 0.45155964E+01 0.25519794E-03 0.72000000E+01 0.00000000E+00 0.42322366E+01 0.24659224E-04
 0.45255964E+01 0.27637048E-03 0.72000000E+01 0.00000000E+00 0.42070334E+01 0.26646073E-04
 0.45355964E+01 0.29924285E-03 0.72000000E+01 0.00000000E+00 0.41819139E+01 0.28787686E-04
 0.45455964E+01 0.32394277E-03 0.72000000E+01 0.00000000E+00 0.41568779E+01 0.31095303E-04
 0.45555964E+01 0.35061267E-03 0.72000000E+01 0.00000000E+00 0.41319248E+01 0.33581472E-04
 0.45655964E+01 0.37940053E-03 0.72000000E+01 0.00000000E+00 0.41070544E+01 0.36259165E-04
 0.45755964E+01 0.41046861E-03 0.72000000E+01 0.00000000E+00 0.40822662E+01 0.39142595E-04
 0.45855964E+01 0.44398805E-03 0.72000000E+01 0.00000000E+00 0.40575598E+01 0.42246704E-04
 0.45955964E+01 0.48014338E-03 0.72000000E+01 0.00000000E+00 0.40329350E+01 0.45587569E-04
 0.46055964E+01 0.51912913E-03 0.72000000E+01 0.00000000E+00 0.40083914E+01 0.49182080E-04
 0.46155964E+01 0.56115525E-03 0.72000000E+01 0.00000000E+00 0.39839285E+01 0.53048435E-04
 0.46255964E+01 0.60644190E-03 0.72000000E+01 0.00000000E+00 0.39595461E+01 0.57205638E-04
 0.46355964E+01 0.65522992E-03 0.72000000E+01 0.00000000E+00 0.39352437E+01 0.61674477E-04
