      W(GeV)       theta(degrees)  [diff](nb)
    0.40360E+01    0.47495E-01    0.36532E-02
    0.40360E+01    0.10875E+00    0.36532E-02
    0.40360E+01    0.16974E+00    0.36532E-02
    0.40360E+01    0.22981E+00    0.36532E-02
    0.40360E+01    0.28857E+00    0.36532E-02
    0.40360E+01    0.34565E+00    0.36532E-02
    0.40360E+01    0.40072E+00    0.36532E-02
    0.40360E+01    0.45343E+00    0.36532E-02
    0.40360E+01    0.50349E+00    0.36532E-02
    0.40360E+01    0.55060E+00    0.36532E-02
    0.40360E+01    0.59448E+00    0.36532E-02
    0.40360E+01    0.63487E+00    0.36532E-02
    0.40360E+01    0.67154E+00    0.36532E-02
    0.40360E+01    0.70427E+00    0.36532E-02
    0.40360E+01    0.73287E+00    0.36532E-02
    0.40360E+01    0.75716E+00    0.36532E-02
    0.40360E+01    0.77702E+00    0.36532E-02
    0.40360E+01    0.79231E+00    0.36532E-02
    0.40360E+01    0.80296E+00    0.36532E-02
    0.40360E+01    0.80890E+00    0.36532E-02
    0.40360E+01    0.82272E+00    0.36532E-02
    0.40360E+01    0.87351E+00    0.36532E-02
    0.40360E+01    0.95702E+00    0.36532E-02
    0.40360E+01    0.10639E+01    0.36532E-02
    0.40360E+01    0.11858E+01    0.36532E-02
    0.40360E+01    0.13160E+01    0.36532E-02
    0.40360E+01    0.14498E+01    0.36532E-02
    0.40360E+01    0.15834E+01    0.36532E-02
    0.40360E+01    0.17141E+01    0.36532E-02
    0.40360E+01    0.18399E+01    0.36532E-02
    0.40360E+01    0.19590E+01    0.36532E-02
    0.40360E+01    0.20699E+01    0.36531E-02
    0.40360E+01    0.21716E+01    0.36531E-02
    0.40360E+01    0.22630E+01    0.36531E-02
    0.40360E+01    0.23433E+01    0.36531E-02
    0.40360E+01    0.24118E+01    0.36531E-02
    0.40360E+01    0.24680E+01    0.36531E-02
    0.40360E+01    0.25114E+01    0.36531E-02
    0.40360E+01    0.25417E+01    0.36531E-02
    0.40360E+01    0.25586E+01    0.36531E-02
    0.40360E+01    0.26019E+01    0.36531E-02
    0.40360E+01    0.27625E+01    0.36531E-02
    0.40360E+01    0.30267E+01    0.36530E-02
    0.40360E+01    0.33648E+01    0.36530E-02
    0.40360E+01    0.37504E+01    0.36529E-02
    0.40360E+01    0.41625E+01    0.36529E-02
    0.40360E+01    0.45857E+01    0.36528E-02
    0.40360E+01    0.50085E+01    0.36527E-02
    0.40360E+01    0.54224E+01    0.36526E-02
    0.40360E+01    0.58206E+01    0.36525E-02
    0.40360E+01    0.61975E+01    0.36524E-02
    0.40360E+01    0.65489E+01    0.36523E-02
    0.40360E+01    0.68708E+01    0.36522E-02
    0.40360E+01    0.71604E+01    0.36521E-02
    0.40360E+01    0.74148E+01    0.36520E-02
    0.40360E+01    0.76320E+01    0.36519E-02
    0.40360E+01    0.78101E+01    0.36519E-02
    0.40360E+01    0.79476E+01    0.36518E-02
    0.40360E+01    0.80435E+01    0.36518E-02
    0.40360E+01    0.80970E+01    0.36518E-02
    0.40360E+01    0.82342E+01    0.36517E-02
    0.40360E+01    0.87435E+01    0.36515E-02
    0.40360E+01    0.95812E+01    0.36512E-02
    0.40360E+01    0.10654E+02    0.36507E-02
    0.40360E+01    0.11879E+02    0.36501E-02
    0.40360E+01    0.13189E+02    0.36494E-02
    0.40360E+01    0.14536E+02    0.36486E-02
    0.40360E+01    0.15884E+02    0.36476E-02
    0.40360E+01    0.17205E+02    0.36467E-02
    0.40360E+01    0.18478E+02    0.36457E-02
    0.40360E+01    0.19685E+02    0.36447E-02
    0.40360E+01    0.20812E+02    0.36437E-02
    0.40360E+01    0.21847E+02    0.36427E-02
    0.40360E+01    0.22778E+02    0.36418E-02
    0.40360E+01    0.23598E+02    0.36410E-02
    0.40360E+01    0.24298E+02    0.36403E-02
    0.40360E+01    0.24873E+02    0.36397E-02
    0.40360E+01    0.25318E+02    0.36392E-02
    0.40360E+01    0.25628E+02    0.36389E-02
    0.40360E+01    0.25801E+02    0.36387E-02
    0.40360E+01    0.26245E+02    0.36382E-02
    0.40360E+01    0.27897E+02    0.36363E-02
    0.40360E+01    0.30627E+02    0.36329E-02
    0.40360E+01    0.34147E+02    0.36281E-02
    0.40360E+01    0.38201E+02    0.36221E-02
    0.40360E+01    0.42589E+02    0.36150E-02
    0.40360E+01    0.47165E+02    0.36069E-02
    0.40360E+01    0.51817E+02    0.35981E-02
    0.40360E+01    0.56461E+02    0.35888E-02
    0.40360E+01    0.61024E+02    0.35793E-02
    0.40360E+01    0.65445E+02    0.35696E-02
    0.40360E+01    0.69666E+02    0.35602E-02
    0.40360E+01    0.73630E+02    0.35511E-02
    0.40360E+01    0.77284E+02    0.35426E-02
    0.40360E+01    0.80574E+02    0.35349E-02
    0.40360E+01    0.83445E+02    0.35281E-02
    0.40360E+01    0.85848E+02    0.35224E-02
    0.40360E+01    0.87736E+02    0.35180E-02
    0.40360E+01    0.89071E+02    0.35148E-02
    0.40360E+01    0.89823E+02    0.35130E-02
    0.40360E+01    0.90098E+02    0.35124E-02
    0.40360E+01    0.90516E+02    0.35114E-02
    0.40360E+01    0.91257E+02    0.35097E-02
    0.40360E+01    0.92305E+02    0.35072E-02
    0.40360E+01    0.93636E+02    0.35041E-02
    0.40360E+01    0.95220E+02    0.35004E-02
    0.40360E+01    0.97024E+02    0.34962E-02
    0.40360E+01    0.99008E+02    0.34916E-02
    0.40360E+01    0.10113E+03    0.34868E-02
    0.40360E+01    0.10335E+03    0.34818E-02
    0.40360E+01    0.10561E+03    0.34767E-02
    0.40360E+01    0.10788E+03    0.34717E-02
    0.40360E+01    0.11009E+03    0.34669E-02
    0.40360E+01    0.11219E+03    0.34624E-02
    0.40360E+01    0.11414E+03    0.34583E-02
    0.40360E+01    0.11589E+03    0.34547E-02
    0.40360E+01    0.11737E+03    0.34517E-02
    0.40360E+01    0.11856E+03    0.34493E-02
    0.40360E+01    0.11941E+03    0.34476E-02
    0.40360E+01    0.11989E+03    0.34467E-02
    0.40360E+01    0.12011E+03    0.34462E-02
    0.40360E+01    0.12060E+03    0.34453E-02
    0.40360E+01    0.12146E+03    0.34436E-02
    0.40360E+01    0.12270E+03    0.34413E-02
    0.40360E+01    0.12429E+03    0.34383E-02
    0.40360E+01    0.12623E+03    0.34347E-02
    0.40360E+01    0.12848E+03    0.34307E-02
    0.40360E+01    0.13104E+03    0.34263E-02
    0.40360E+01    0.13387E+03    0.34216E-02
    0.40360E+01    0.13696E+03    0.34168E-02
    0.40360E+01    0.14028E+03    0.34119E-02
    0.40360E+01    0.14380E+03    0.34071E-02
    0.40360E+01    0.14750E+03    0.34025E-02
    0.40360E+01    0.15137E+03    0.33981E-02
    0.40360E+01    0.15537E+03    0.33942E-02
    0.40360E+01    0.15949E+03    0.33907E-02
    0.40360E+01    0.16369E+03    0.33878E-02
    0.40360E+01    0.16798E+03    0.33855E-02
    0.40360E+01    0.17230E+03    0.33839E-02
    0.40360E+01    0.17664E+03    0.33830E-02
    0.40860E+01    0.47495E-01    0.42233E-01
    0.40860E+01    0.10875E+00    0.42233E-01
    0.40860E+01    0.16974E+00    0.42233E-01
    0.40860E+01    0.22981E+00    0.42233E-01
    0.40860E+01    0.28857E+00    0.42232E-01
    0.40860E+01    0.34565E+00    0.42232E-01
    0.40860E+01    0.40072E+00    0.42232E-01
    0.40860E+01    0.45343E+00    0.42232E-01
    0.40860E+01    0.50349E+00    0.42231E-01
    0.40860E+01    0.55060E+00    0.42231E-01
    0.40860E+01    0.59448E+00    0.42231E-01
    0.40860E+01    0.63487E+00    0.42231E-01
    0.40860E+01    0.67154E+00    0.42230E-01
    0.40860E+01    0.70427E+00    0.42230E-01
    0.40860E+01    0.73287E+00    0.42230E-01
    0.40860E+01    0.75716E+00    0.42230E-01
    0.40860E+01    0.77702E+00    0.42229E-01
    0.40860E+01    0.79231E+00    0.42229E-01
    0.40860E+01    0.80296E+00    0.42229E-01
    0.40860E+01    0.80890E+00    0.42229E-01
    0.40860E+01    0.82272E+00    0.42229E-01
    0.40860E+01    0.87351E+00    0.42229E-01
    0.40860E+01    0.95702E+00    0.42228E-01
    0.40860E+01    0.10639E+01    0.42226E-01
    0.40860E+01    0.11858E+01    0.42225E-01
    0.40860E+01    0.13160E+01    0.42223E-01
    0.40860E+01    0.14498E+01    0.42221E-01
    0.40860E+01    0.15834E+01    0.42219E-01
    0.40860E+01    0.17141E+01    0.42216E-01
    0.40860E+01    0.18399E+01    0.42214E-01
    0.40860E+01    0.19590E+01    0.42211E-01
    0.40860E+01    0.20699E+01    0.42209E-01
    0.40860E+01    0.21716E+01    0.42206E-01
    0.40860E+01    0.22630E+01    0.42204E-01
    0.40860E+01    0.23433E+01    0.42202E-01
    0.40860E+01    0.24118E+01    0.42200E-01
    0.40860E+01    0.24680E+01    0.42199E-01
    0.40860E+01    0.25114E+01    0.42197E-01
    0.40860E+01    0.25417E+01    0.42197E-01
    0.40860E+01    0.25586E+01    0.42196E-01
    0.40860E+01    0.26019E+01    0.42195E-01
    0.40860E+01    0.27625E+01    0.42190E-01
    0.40860E+01    0.30267E+01    0.42181E-01
    0.40860E+01    0.33648E+01    0.42169E-01
    0.40860E+01    0.37504E+01    0.42154E-01
    0.40860E+01    0.41625E+01    0.42136E-01
    0.40860E+01    0.45857E+01    0.42115E-01
    0.40860E+01    0.50085E+01    0.42092E-01
    0.40860E+01    0.54224E+01    0.42068E-01
    0.40860E+01    0.58206E+01    0.42044E-01
    0.40860E+01    0.61975E+01    0.42018E-01
    0.40860E+01    0.65489E+01    0.41994E-01
    0.40860E+01    0.68708E+01    0.41970E-01
    0.40860E+01    0.71604E+01    0.41947E-01
    0.40860E+01    0.74148E+01    0.41927E-01
    0.40860E+01    0.76320E+01    0.41909E-01
    0.40860E+01    0.78101E+01    0.41894E-01
    0.40860E+01    0.79476E+01    0.41882E-01
    0.40860E+01    0.80435E+01    0.41873E-01
    0.40860E+01    0.80970E+01    0.41869E-01
    0.40860E+01    0.82342E+01    0.41856E-01
    0.40860E+01    0.87435E+01    0.41809E-01
    0.40860E+01    0.95812E+01    0.41726E-01
    0.40860E+01    0.10654E+02    0.41608E-01
    0.40860E+01    0.11879E+02    0.41460E-01
    0.40860E+01    0.13189E+02    0.41287E-01
    0.40860E+01    0.14536E+02    0.41091E-01
    0.40860E+01    0.15884E+02    0.40880E-01
    0.40860E+01    0.17205E+02    0.40659E-01
    0.40860E+01    0.18478E+02    0.40432E-01
    0.40860E+01    0.19685E+02    0.40206E-01
    0.40860E+01    0.20812E+02    0.39986E-01
    0.40860E+01    0.21847E+02    0.39777E-01
    0.40860E+01    0.22778E+02    0.39582E-01
    0.40860E+01    0.23598E+02    0.39407E-01
    0.40860E+01    0.24298E+02    0.39255E-01
    0.40860E+01    0.24873E+02    0.39127E-01
    0.40860E+01    0.25318E+02    0.39028E-01
    0.40860E+01    0.25628E+02    0.38958E-01
    0.40860E+01    0.25801E+02    0.38918E-01
    0.40860E+01    0.26245E+02    0.38817E-01
    0.40860E+01    0.27897E+02    0.38431E-01
    0.40860E+01    0.30627E+02    0.37771E-01
    0.40860E+01    0.34147E+02    0.36887E-01
    0.40860E+01    0.38201E+02    0.35838E-01
    0.40860E+01    0.42589E+02    0.34686E-01
    0.40860E+01    0.47165E+02    0.33486E-01
    0.40860E+01    0.51817E+02    0.32284E-01
    0.40860E+01    0.56461E+02    0.31116E-01
    0.40860E+01    0.61024E+02    0.30006E-01
    0.40860E+01    0.65445E+02    0.28972E-01
    0.40860E+01    0.69666E+02    0.28026E-01
    0.40860E+01    0.73630E+02    0.27174E-01
    0.40860E+01    0.77284E+02    0.26421E-01
    0.40860E+01    0.80574E+02    0.25769E-01
    0.40860E+01    0.83445E+02    0.25221E-01
    0.40860E+01    0.85848E+02    0.24776E-01
    0.40860E+01    0.87736E+02    0.24436E-01
    0.40860E+01    0.89071E+02    0.24200E-01
    0.40860E+01    0.89823E+02    0.24069E-01
    0.40860E+01    0.90098E+02    0.24022E-01
    0.40860E+01    0.90516E+02    0.23950E-01
    0.40860E+01    0.91257E+02    0.23823E-01
    0.40860E+01    0.92305E+02    0.23646E-01
    0.40860E+01    0.93636E+02    0.23425E-01
    0.40860E+01    0.95220E+02    0.23166E-01
    0.40860E+01    0.97024E+02    0.22879E-01
    0.40860E+01    0.99008E+02    0.22571E-01
    0.40860E+01    0.10113E+03    0.22251E-01
    0.40860E+01    0.10335E+03    0.21927E-01
    0.40860E+01    0.10561E+03    0.21607E-01
    0.40860E+01    0.10788E+03    0.21298E-01
    0.40860E+01    0.11009E+03    0.21006E-01
    0.40860E+01    0.11219E+03    0.20738E-01
    0.40860E+01    0.11414E+03    0.20498E-01
    0.40860E+01    0.11589E+03    0.20290E-01
    0.40860E+01    0.11737E+03    0.20118E-01
    0.40860E+01    0.11856E+03    0.19983E-01
    0.40860E+01    0.11941E+03    0.19889E-01
    0.40860E+01    0.11989E+03    0.19836E-01
    0.40860E+01    0.12011E+03    0.19811E-01
    0.40860E+01    0.12060E+03    0.19759E-01
    0.40860E+01    0.12146E+03    0.19666E-01
    0.40860E+01    0.12270E+03    0.19536E-01
    0.40860E+01    0.12429E+03    0.19374E-01
    0.40860E+01    0.12623E+03    0.19183E-01
    0.40860E+01    0.12848E+03    0.18969E-01
    0.40860E+01    0.13104E+03    0.18739E-01
    0.40860E+01    0.13387E+03    0.18499E-01
    0.40860E+01    0.13696E+03    0.18255E-01
    0.40860E+01    0.14028E+03    0.18013E-01
    0.40860E+01    0.14380E+03    0.17778E-01
    0.40860E+01    0.14750E+03    0.17556E-01
    0.40860E+01    0.15137E+03    0.17351E-01
    0.40860E+01    0.15537E+03    0.17166E-01
    0.40860E+01    0.15949E+03    0.17006E-01
    0.40860E+01    0.16369E+03    0.16873E-01
    0.40860E+01    0.16798E+03    0.16769E-01
    0.40860E+01    0.17230E+03    0.16696E-01
    0.40860E+01    0.17664E+03    0.16655E-01
    0.41360E+01    0.47495E-01    0.77942E-01
    0.41360E+01    0.10875E+00    0.77942E-01
    0.41360E+01    0.16974E+00    0.77942E-01
    0.41360E+01    0.22981E+00    0.77941E-01
    0.41360E+01    0.28857E+00    0.77941E-01
    0.41360E+01    0.34565E+00    0.77940E-01
    0.41360E+01    0.40072E+00    0.77939E-01
    0.41360E+01    0.45343E+00    0.77938E-01
    0.41360E+01    0.50349E+00    0.77937E-01
    0.41360E+01    0.55060E+00    0.77936E-01
    0.41360E+01    0.59448E+00    0.77935E-01
    0.41360E+01    0.63487E+00    0.77933E-01
    0.41360E+01    0.67154E+00    0.77932E-01
    0.41360E+01    0.70427E+00    0.77931E-01
    0.41360E+01    0.73287E+00    0.77930E-01
    0.41360E+01    0.75716E+00    0.77930E-01
    0.41360E+01    0.77702E+00    0.77929E-01
    0.41360E+01    0.79231E+00    0.77928E-01
    0.41360E+01    0.80296E+00    0.77928E-01
    0.41360E+01    0.80890E+00    0.77928E-01
    0.41360E+01    0.82272E+00    0.77927E-01
    0.41360E+01    0.87351E+00    0.77925E-01
    0.41360E+01    0.95702E+00    0.77922E-01
    0.41360E+01    0.10639E+01    0.77917E-01
    0.41360E+01    0.11858E+01    0.77911E-01
    0.41360E+01    0.13160E+01    0.77904E-01
    0.41360E+01    0.14498E+01    0.77895E-01
    0.41360E+01    0.15834E+01    0.77886E-01
    0.41360E+01    0.17141E+01    0.77877E-01
    0.41360E+01    0.18399E+01    0.77867E-01
    0.41360E+01    0.19590E+01    0.77856E-01
    0.41360E+01    0.20699E+01    0.77846E-01
    0.41360E+01    0.21716E+01    0.77837E-01
    0.41360E+01    0.22630E+01    0.77828E-01
    0.41360E+01    0.23433E+01    0.77819E-01
    0.41360E+01    0.24118E+01    0.77812E-01
    0.41360E+01    0.24680E+01    0.77806E-01
    0.41360E+01    0.25114E+01    0.77801E-01
    0.41360E+01    0.25417E+01    0.77798E-01
    0.41360E+01    0.25586E+01    0.77796E-01
    0.41360E+01    0.26019E+01    0.77791E-01
    0.41360E+01    0.27625E+01    0.77772E-01
    0.41360E+01    0.30267E+01    0.77738E-01
    0.41360E+01    0.33648E+01    0.77689E-01
    0.41360E+01    0.37504E+01    0.77628E-01
    0.41360E+01    0.41625E+01    0.77556E-01
    0.41360E+01    0.45857E+01    0.77474E-01
    0.41360E+01    0.50085E+01    0.77384E-01
    0.41360E+01    0.54224E+01    0.77289E-01
    0.41360E+01    0.58206E+01    0.77191E-01
    0.41360E+01    0.61975E+01    0.77092E-01
    0.41360E+01    0.65489E+01    0.76994E-01
    0.41360E+01    0.68708E+01    0.76900E-01
    0.41360E+01    0.71604E+01    0.76812E-01
    0.41360E+01    0.74148E+01    0.76731E-01
    0.41360E+01    0.76320E+01    0.76661E-01
    0.41360E+01    0.78101E+01    0.76601E-01
    0.41360E+01    0.79476E+01    0.76555E-01
    0.41360E+01    0.80435E+01    0.76522E-01
    0.41360E+01    0.80970E+01    0.76503E-01
    0.41360E+01    0.82342E+01    0.76455E-01
    0.41360E+01    0.87435E+01    0.76270E-01
    0.41360E+01    0.95812E+01    0.75945E-01
    0.41360E+01    0.10654E+02    0.75490E-01
    0.41360E+01    0.11879E+02    0.74921E-01
    0.41360E+01    0.13189E+02    0.74258E-01
    0.41360E+01    0.14536E+02    0.73520E-01
    0.41360E+01    0.15884E+02    0.72731E-01
    0.41360E+01    0.17205E+02    0.71911E-01
    0.41360E+01    0.18478E+02    0.71084E-01
    0.41360E+01    0.19685E+02    0.70268E-01
    0.41360E+01    0.20812E+02    0.69483E-01
    0.41360E+01    0.21847E+02    0.68745E-01
    0.41360E+01    0.22778E+02    0.68067E-01
    0.41360E+01    0.23598E+02    0.67462E-01
    0.41360E+01    0.24298E+02    0.66939E-01
    0.41360E+01    0.24873E+02    0.66506E-01
    0.41360E+01    0.25318E+02    0.66170E-01
    0.41360E+01    0.25628E+02    0.65934E-01
    0.41360E+01    0.25801E+02    0.65802E-01
    0.41360E+01    0.26245E+02    0.65463E-01
    0.41360E+01    0.27897E+02    0.64193E-01
    0.41360E+01    0.30627E+02    0.62078E-01
    0.41360E+01    0.34147E+02    0.59359E-01
    0.41360E+01    0.38201E+02    0.56298E-01
    0.41360E+01    0.42589E+02    0.53128E-01
    0.41360E+01    0.47165E+02    0.50022E-01
    0.41360E+01    0.51817E+02    0.47094E-01
    0.41360E+01    0.56461E+02    0.44401E-01
    0.41360E+01    0.61024E+02    0.41968E-01
    0.41360E+01    0.65445E+02    0.39797E-01
    0.41360E+01    0.69666E+02    0.37880E-01
    0.41360E+01    0.73630E+02    0.36204E-01
    0.41360E+01    0.77284E+02    0.34758E-01
    0.41360E+01    0.80574E+02    0.33532E-01
    0.41360E+01    0.83445E+02    0.32515E-01
    0.41360E+01    0.85848E+02    0.31701E-01
    0.41360E+01    0.87736E+02    0.31084E-01
    0.41360E+01    0.89071E+02    0.30659E-01
    0.41360E+01    0.89823E+02    0.30424E-01
    0.41360E+01    0.90098E+02    0.30339E-01
    0.41360E+01    0.90516E+02    0.30210E-01
    0.41360E+01    0.91257E+02    0.29984E-01
    0.41360E+01    0.92305E+02    0.29669E-01
    0.41360E+01    0.93636E+02    0.29278E-01
    0.41360E+01    0.95220E+02    0.28822E-01
    0.41360E+01    0.97024E+02    0.28319E-01
    0.41360E+01    0.99008E+02    0.27784E-01
    0.41360E+01    0.10113E+03    0.27231E-01
    0.41360E+01    0.10335E+03    0.26675E-01
    0.41360E+01    0.10561E+03    0.26130E-01
    0.41360E+01    0.10788E+03    0.25607E-01
    0.41360E+01    0.11009E+03    0.25117E-01
    0.41360E+01    0.11219E+03    0.24669E-01
    0.41360E+01    0.11414E+03    0.24270E-01
    0.41360E+01    0.11589E+03    0.23926E-01
    0.41360E+01    0.11737E+03    0.23643E-01
    0.41360E+01    0.11856E+03    0.23422E-01
    0.41360E+01    0.11941E+03    0.23268E-01
    0.41360E+01    0.11989E+03    0.23182E-01
    0.41360E+01    0.12011E+03    0.23142E-01
    0.41360E+01    0.12060E+03    0.23056E-01
    0.41360E+01    0.12146E+03    0.22905E-01
    0.41360E+01    0.12270E+03    0.22695E-01
    0.41360E+01    0.12429E+03    0.22431E-01
    0.41360E+01    0.12623E+03    0.22124E-01
    0.41360E+01    0.12848E+03    0.21782E-01
    0.41360E+01    0.13104E+03    0.21416E-01
    0.41360E+01    0.13387E+03    0.21036E-01
    0.41360E+01    0.13696E+03    0.20652E-01
    0.41360E+01    0.14028E+03    0.20273E-01
    0.41360E+01    0.14380E+03    0.19908E-01
    0.41360E+01    0.14750E+03    0.19565E-01
    0.41360E+01    0.15137E+03    0.19250E-01
    0.41360E+01    0.15537E+03    0.18968E-01
    0.41360E+01    0.15949E+03    0.18725E-01
    0.41360E+01    0.16369E+03    0.18523E-01
    0.41360E+01    0.16798E+03    0.18366E-01
    0.41360E+01    0.17230E+03    0.18257E-01
    0.41360E+01    0.17664E+03    0.18195E-01
    0.41860E+01    0.47495E-01    0.12554E+00
    0.41860E+01    0.10875E+00    0.12553E+00
    0.41860E+01    0.16974E+00    0.12553E+00
    0.41860E+01    0.22981E+00    0.12553E+00
    0.41860E+01    0.28857E+00    0.12553E+00
    0.41860E+01    0.34565E+00    0.12553E+00
    0.41860E+01    0.40072E+00    0.12553E+00
    0.41860E+01    0.45343E+00    0.12552E+00
    0.41860E+01    0.50349E+00    0.12552E+00
    0.41860E+01    0.55060E+00    0.12552E+00
    0.41860E+01    0.59448E+00    0.12551E+00
    0.41860E+01    0.63487E+00    0.12551E+00
    0.41860E+01    0.67154E+00    0.12551E+00
    0.41860E+01    0.70427E+00    0.12551E+00
    0.41860E+01    0.73287E+00    0.12550E+00
    0.41860E+01    0.75716E+00    0.12550E+00
    0.41860E+01    0.77702E+00    0.12550E+00
    0.41860E+01    0.79231E+00    0.12550E+00
    0.41860E+01    0.80296E+00    0.12550E+00
    0.41860E+01    0.80890E+00    0.12550E+00
    0.41860E+01    0.82272E+00    0.12550E+00
    0.41860E+01    0.87351E+00    0.12549E+00
    0.41860E+01    0.95702E+00    0.12548E+00
    0.41860E+01    0.10639E+01    0.12547E+00
    0.41860E+01    0.11858E+01    0.12545E+00
    0.41860E+01    0.13160E+01    0.12543E+00
    0.41860E+01    0.14498E+01    0.12541E+00
    0.41860E+01    0.15834E+01    0.12539E+00
    0.41860E+01    0.17141E+01    0.12536E+00
    0.41860E+01    0.18399E+01    0.12533E+00
    0.41860E+01    0.19590E+01    0.12531E+00
    0.41860E+01    0.20699E+01    0.12528E+00
    0.41860E+01    0.21716E+01    0.12526E+00
    0.41860E+01    0.22630E+01    0.12523E+00
    0.41860E+01    0.23433E+01    0.12521E+00
    0.41860E+01    0.24118E+01    0.12519E+00
    0.41860E+01    0.24680E+01    0.12517E+00
    0.41860E+01    0.25114E+01    0.12516E+00
    0.41860E+01    0.25417E+01    0.12515E+00
    0.41860E+01    0.25586E+01    0.12515E+00
    0.41860E+01    0.26019E+01    0.12513E+00
    0.41860E+01    0.27625E+01    0.12508E+00
    0.41860E+01    0.30267E+01    0.12499E+00
    0.41860E+01    0.33648E+01    0.12487E+00
    0.41860E+01    0.37504E+01    0.12471E+00
    0.41860E+01    0.41625E+01    0.12451E+00
    0.41860E+01    0.45857E+01    0.12430E+00
    0.41860E+01    0.50085E+01    0.12406E+00
    0.41860E+01    0.54224E+01    0.12381E+00
    0.41860E+01    0.58206E+01    0.12356E+00
    0.41860E+01    0.61975E+01    0.12330E+00
    0.41860E+01    0.65489E+01    0.12304E+00
    0.41860E+01    0.68708E+01    0.12279E+00
    0.41860E+01    0.71604E+01    0.12256E+00
    0.41860E+01    0.74148E+01    0.12235E+00
    0.41860E+01    0.76320E+01    0.12217E+00
    0.41860E+01    0.78101E+01    0.12202E+00
    0.41860E+01    0.79476E+01    0.12189E+00
    0.41860E+01    0.80435E+01    0.12181E+00
    0.41860E+01    0.80970E+01    0.12176E+00
    0.41860E+01    0.82342E+01    0.12163E+00
    0.41860E+01    0.87435E+01    0.12116E+00
    0.41860E+01    0.95812E+01    0.12031E+00
    0.41860E+01    0.10654E+02    0.11914E+00
    0.41860E+01    0.11879E+02    0.11769E+00
    0.41860E+01    0.13189E+02    0.11600E+00
    0.41860E+01    0.14536E+02    0.11415E+00
    0.41860E+01    0.15884E+02    0.11218E+00
    0.41860E+01    0.17205E+02    0.11016E+00
    0.41860E+01    0.18478E+02    0.10815E+00
    0.41860E+01    0.19685E+02    0.10618E+00
    0.41860E+01    0.20812E+02    0.10431E+00
    0.41860E+01    0.21847E+02    0.10257E+00
    0.41860E+01    0.22778E+02    0.10098E+00
    0.41860E+01    0.23598E+02    0.99583E-01
    0.41860E+01    0.24298E+02    0.98383E-01
    0.41860E+01    0.24873E+02    0.97397E-01
    0.41860E+01    0.25318E+02    0.96634E-01
    0.41860E+01    0.25628E+02    0.96103E-01
