CLAS physics database search results
Measurement E57M2
Differential Photoproduction Cross Sections of the &Lambda;(1520)
R. A. Schumacher
2013

W	cos(theta_K+)	dsigma/dcos(theta K+)	Data errors
GeV		mcbn	mcbn
2.035	-0.85	0	0
2.035	-0.75	0.3818	0.1687
2.035	-0.65	0.0736	0.0253
2.035	-0.55	0.1091	0.0251
2.035	-0.45	0.1303	0.035
2.035	-0.35	0.1177	0.0282
2.035	-0.25	0.0553	0.0127
2.035	-0.15	0.0786	0.0127
2.035	-0.05	0.1016	0.0148
2.035	0.05	0.0802	0.012
2.035	0.15	0.0834	0.0121
2.035	0.25	0.1078	0.014
2.035	0.35	0.1296	0.0164
2.035	0.45	0.1583	0.018
2.035	0.55	0.1054	0.0145
2.035	0.65	0.1694	0.0209
2.035	0.75	0.1316	0.0299
2.035	0.84	0	0
2.1	-0.85	0	0
2.1	-0.75	0.1347	0.0536
2.1	-0.65	0.115	0.0168
2.1	-0.55	0.1086	0.015
2.1	-0.45	0.0982	0.0139
2.1	-0.35	0.1287	0.0418
2.1	-0.25	0.1782	0.0552
2.1	-0.15	0.1353	0.0274
2.1	-0.05	0.1264	0.0193
2.1	0.05	0.1742	0.025
2.1	0.15	0.1934	0.0213
2.1	0.25	0.3059	0.0286
2.1	0.35	0.3563	0.0293
2.1	0.45	0.376	0.0283
2.1	0.55	0.4561	0.0313
2.1	0.65	0.4245	0.0248
2.1	0.75	0.6135	0.0396
2.1	0.84	0.6366	0.0652
2.2	-0.85	0	0
2.2	-0.75	0.2219	0.0236
2.2	-0.65	0.184	0.0162
2.2	-0.55	0.1402	0.0139
2.2	-0.45	0.1566	0.0447
2.2	-0.35	0.1707	0.0433
2.2	-0.25	0.0894	0.0264
2.2	-0.15	0.2019	0.041
2.2	-0.05	0.2077	0.0263
2.2	0.05	0.2698	0.0257
2.2	0.15	0.2544	0.0227
2.2	0.25	0.3722	0.0256
2.2	0.35	0.3629	0.0223
2.2	0.45	0.511	0.0256
2.2	0.55	0.5309	0.0245
2.2	0.65	0.6959	0.0308
2.2	0.75	0.7051	0.035
2.2	0.84	0.6578	0.0532
2.3	-0.85	0.2232	0.0584
2.3	-0.75	0.1442	0.0169
2.3	-0.65	0.131	0.0148
2.3	-0.55	0.1458	0.0123
2.3	-0.45	0.1244	0.0112
2.3	-0.35	0.1252	0.0281
2.3	-0.25	0.1405	0.0212
2.3	-0.15	0.1818	0.0283
2.3	-0.05	0.1836	0.0192
2.3	0.05	0.2169	0.0195
2.3	0.15	0.2596	0.0197
2.3	0.25	0.308	0.0198
2.3	0.35	0.3974	0.0197
2.3	0.45	0.4039	0.0194
2.3	0.55	0.518	0.0229
2.3	0.65	0.5526	0.024
2.3	0.75	0.5873	0.0288
2.3	0.84	0.6168	0.0374
2.4	-0.85	0.1033	0.0241
2.4	-0.75	0.083	0.0144
2.4	-0.65	0.1001	0.0122
2.4	-0.55	0.1486	0.061
2.4	-0.45	0.1126	0.0429
2.4	-0.35	0.1135	0.0288
2.4	-0.25	0.1002	0.0208
2.4	-0.15	0.1194	0.0263
2.4	-0.05	0.1538	0.0177
2.4	0.05	0.1674	0.0161
2.4	0.15	0.1796	0.017
2.4	0.25	0.2611	0.0164
2.4	0.35	0.3293	0.0174
2.4	0.45	0.3724	0.0178
2.4	0.55	0.4989	0.0225
