PSTAR: Stopping Powers and Range Tables for Protons

GOLD                                                                    

Kinetic   Total     
Energy    Stp. Pow. 
MeV       MeV cm2/g 

1.000E-03 1.565E+01 
1.500E-03 1.899E+01 
2.000E-03 2.179E+01 
2.500E-03 2.425E+01 
3.000E-03 2.648E+01 
4.000E-03 3.041E+01 
5.000E-03 3.388E+01 
6.000E-03 3.701E+01 
7.000E-03 3.988E+01 
8.000E-03 4.256E+01 
9.000E-03 4.507E+01 
1.000E-02 4.745E+01 
1.250E-02 5.226E+01 
1.500E-02 5.650E+01 
1.750E-02 6.033E+01 
2.000E-02 6.383E+01 
2.250E-02 6.705E+01 
2.500E-02 7.003E+01 
2.750E-02 7.280E+01 
3.000E-02 7.539E+01 
3.500E-02 8.010E+01 
4.000E-02 8.426E+01 
4.500E-02 8.796E+01 
5.000E-02 9.125E+01 
5.500E-02 9.419E+01 
6.000E-02 9.680E+01 
6.500E-02 9.912E+01 
7.000E-02 1.012E+02 
7.500E-02 1.030E+02 
8.000E-02 1.046E+02 
8.500E-02 1.060E+02 
9.000E-02 1.072E+02 
9.500E-02 1.083E+02 
1.000E-01 1.092E+02 
1.250E-01 1.118E+02 
1.500E-01 1.122E+02 
1.750E-01 1.114E+02 
2.000E-01 1.098E+02 
2.250E-01 1.078E+02 
2.500E-01 1.056E+02 
2.750E-01 1.034E+02 
3.000E-01 1.011E+02 
3.500E-01 9.646E+01 
4.000E-01 9.192E+01 
4.500E-01 8.781E+01 
5.000E-01 8.415E+01 
5.500E-01 8.093E+01 
6.000E-01 7.809E+01 
6.500E-01 7.555E+01 
7.000E-01 7.326E+01 
7.500E-01 7.118E+01 
8.000E-01 6.928E+01 
8.500E-01 6.753E+01 
9.000E-01 6.590E+01 
9.500E-01 6.439E+01 
1.000E+00 6.297E+01 
1.250E+00 5.703E+01 
1.500E+00 5.243E+01 
1.750E+00 4.872E+01 
2.000E+00 4.562E+01 
2.250E+00 4.298E+01 
2.500E+00 4.070E+01 
2.750E+00 3.871E+01 
3.000E+00 3.694E+01 
3.500E+00 3.394E+01 
4.000E+00 3.148E+01 
4.500E+00 2.942E+01 
5.000E+00 2.766E+01 
5.500E+00 2.614E+01 
6.000E+00 2.480E+01 
6.500E+00 2.362E+01 
7.000E+00 2.256E+01 
7.500E+00 2.161E+01 
8.000E+00 2.075E+01 
8.500E+00 1.997E+01 
9.000E+00 1.925E+01 
9.500E+00 1.860E+01 
1.000E+01 1.799E+01 
1.250E+01 1.554E+01 
1.500E+01 1.375E+01 
1.750E+01 1.238E+01 
2.000E+01 1.129E+01 
2.500E+01 9.665E+00 
2.750E+01 9.038E+00 
3.000E+01 8.499E+00 
3.500E+01 7.618E+00 
4.000E+01 6.926E+00 
4.500E+01 6.368E+00 
5.000E+01 5.906E+00 
5.500E+01 5.518E+00 
6.000E+01 5.187E+00 
6.500E+01 4.901E+00 
7.000E+01 4.651E+00 
7.500E+01 4.430E+00 
8.000E+01 4.234E+00 
8.500E+01 4.059E+00 
9.000E+01 3.901E+00 
9.500E+01 3.758E+00 
1.000E+02 3.628E+00 
1.250E+02 3.121E+00 
1.500E+02 2.770E+00 
1.750E+02 2.513E+00 
2.000E+02 2.316E+00 
2.250E+02 2.160E+00 
2.500E+02 2.034E+00 
2.750E+02 1.931E+00 
3.000E+02 1.844E+00 
3.500E+02 1.707E+00 
4.000E+02 1.604E+00 
4.500E+02 1.524E+00 
5.000E+02 1.461E+00 
5.500E+02 1.410E+00 
6.000E+02 1.368E+00 
6.500E+02 1.334E+00 
7.000E+02 1.305E+00 
7.500E+02 1.280E+00 
8.000E+02 1.259E+00 
8.500E+02 1.241E+00 
9.000E+02 1.226E+00 
9.500E+02 1.213E+00 
1.000E+03 1.201E+00 
1.500E+03 1.143E+00 
2.000E+03 1.131E+00 
2.500E+03 1.134E+00 
3.000E+03 1.143E+00 
4.000E+03 1.167E+00 
5.000E+03 1.192E+00 
6.000E+03 1.215E+00 
7.000E+03 1.236E+00 
8.000E+03 1.255E+00 
9.000E+03 1.272E+00 
1.000E+04 1.288E+00 

